@relation autorship_identification
@attribute "! ''" numeric
@attribute "'' ," numeric
@attribute "'' ." numeric
@attribute ") ," numeric
@attribute ", a" numeric
@attribute ", ainda" numeric
@attribute ", ao" numeric
@attribute ", as" numeric
@attribute ", com" numeric
@attribute ", como" numeric
@attribute ", da" numeric
@attribute ", de" numeric
@attribute ", depois" numeric
@attribute ", disse" numeric
@attribute ", do" numeric
@attribute ", dona" numeric
@attribute ", doutor" numeric
@attribute ", e" numeric
@attribute ", ela" numeric
@attribute ", ele" numeric
@attribute ", em" numeric
@attribute ", enquanto" numeric
@attribute ", era" numeric
@attribute ", eu" numeric
@attribute ", já" numeric
@attribute ", mais" numeric
@attribute ", mas" numeric
@attribute ", meu" numeric
@attribute ", minha" numeric
@attribute ", muito" numeric
@attribute ", na" numeric
@attribute ", nas" numeric
@attribute ", nem" numeric
@attribute ", no" numeric
@attribute ", nos" numeric
@attribute ", num" numeric
@attribute ", numa" numeric
@attribute ", não" numeric
@attribute ", o" numeric
@attribute ", onde" numeric
@attribute ", os" numeric
@attribute ", para" numeric
@attribute ", pois" numeric
@attribute ", por" numeric
@attribute ", porque" numeric
@attribute ", porém" numeric
@attribute ", quando" numeric
@attribute ", quase" numeric
@attribute ", que" numeric
@attribute ", quem" numeric
@attribute ", rodrigo" numeric
@attribute ", se" numeric
@attribute ", sem" numeric
@attribute ", seu" numeric
@attribute ", sim" numeric
@attribute ", sua" numeric
@attribute ", só" numeric
@attribute ", tudo" numeric
@attribute ", tão" numeric
@attribute ", um" numeric
@attribute ", uma" numeric
@attribute ", à" numeric
@attribute ", é" numeric
@attribute "- ," numeric
@attribute "- a" numeric
@attribute "- disse" numeric
@attribute "- e" numeric
@attribute "- eu" numeric
@attribute "- mas" numeric
@attribute "- não" numeric
@attribute "- o" numeric
@attribute "- que" numeric
@attribute "- é" numeric
@attribute ". ''" numeric
@attribute ": -" numeric
@attribute ": ``" numeric
@attribute ": a" numeric
@attribute ": o" numeric
@attribute ": –" numeric
@attribute ": —" numeric
@attribute ": “" numeric
@attribute "a boca" numeric
@attribute "a cabeça" numeric
@attribute "a cara" numeric
@attribute "a casa" numeric
@attribute "a coisa" numeric
@attribute "a gente" numeric
@attribute "a luz" numeric
@attribute "a minha" numeric
@attribute "a morte" numeric
@attribute "a moça" numeric
@attribute "a mulher" numeric
@attribute "a mãe" numeric
@attribute "a mão" numeric
@attribute "a noite" numeric
@attribute "a porta" numeric
@attribute "a primeira" numeric
@attribute "a seu" numeric
@attribute "a sua" numeric
@attribute "a um" numeric
@attribute "a uma" numeric
@attribute "a verdade" numeric
@attribute "a vida" numeric
@attribute "a voz" numeric
@attribute "agora ," numeric
@attribute "ah !" numeric
@attribute "ainda não" numeric
@attribute "alguma coisa" numeric
@attribute "anos ," numeric
@attribute "antes de" numeric
@attribute "antônio balduíno" numeric
@attribute "ao lado" numeric
@attribute "ao mesmo" numeric
@attribute "aos poucos" numeric
@attribute "as coisas" numeric
@attribute "as mãos" numeric
@attribute "assim ," numeric
@attribute "até o" numeric
@attribute "bem ," numeric
@attribute "bem ." numeric
@attribute "cabeça ," numeric
@attribute "cabeça ." numeric
@attribute "cada vez" numeric
@attribute "cama ," numeric
@attribute "casa ," numeric
@attribute "casa ." numeric
@attribute "casa de" numeric
@attribute "coisa que" numeric
@attribute "com a" numeric
@attribute "com as" numeric
@attribute "com ela" numeric
@attribute "com ele" numeric
@attribute "com o" numeric
@attribute "com os" numeric
@attribute "com que" numeric
@attribute "com sua" numeric
@attribute "com um" numeric
@attribute "com uma" numeric
@attribute "começou a" numeric
@attribute "como a" numeric
@attribute "como o" numeric
@attribute "como se" numeric
@attribute "como um" numeric
@attribute "como uma" numeric
@attribute "contra o" numeric
@attribute "da casa" numeric
@attribute "da cidade" numeric
@attribute "da noite" numeric
@attribute "da vida" numeric
@attribute "de deus" numeric
@attribute "de dona" numeric
@attribute "de mim" numeric
@attribute "de novo" numeric
@attribute "de pé" numeric
@attribute "de que" numeric
@attribute "de quem" numeric
@attribute "de repente" numeric
@attribute "de se" numeric
@attribute "de ser" numeric
@attribute "de seu" numeric
@attribute "de seus" numeric
@attribute "de si" numeric
@attribute "de sua" numeric
@attribute "de súbito" numeric
@attribute "de tudo" numeric
@attribute "de um" numeric
@attribute "de uma" numeric
@attribute "dele ," numeric
@attribute "dentro de" numeric
@attribute "depois ," numeric
@attribute "depois de" numeric
@attribute "deus ," numeric
@attribute "dia ," numeric
@attribute "disse :" numeric
@attribute "do mundo" numeric
@attribute "do outro" numeric
@attribute "do que" numeric
@attribute "do rio" numeric
@attribute "dona carmosina" numeric
@attribute "dona flor" numeric
@attribute "e ," numeric
@attribute "e a" numeric
@attribute "e agora" numeric
@attribute "e ao" numeric
@attribute "e as" numeric
@attribute "e com" numeric
@attribute "e como" numeric
@attribute "e da" numeric
@attribute "e de" numeric
@attribute "e depois" numeric
@attribute "e do" numeric
@attribute "e ela" numeric
@attribute "e ele" numeric
@attribute "e em" numeric
@attribute "e eu" numeric
@attribute "e no" numeric
@attribute "e não" numeric
@attribute "e o" numeric
@attribute "e os" numeric
@attribute "e por" numeric
@attribute "e quando" numeric
@attribute "e que" numeric
@attribute "e se" numeric
@attribute "e sem" numeric
@attribute "e um" numeric
@attribute "e uma" numeric
@attribute "ela ," numeric
@attribute "ela ." numeric
@attribute "ela não" numeric
@attribute "ela se" numeric
@attribute "ele ," numeric
@attribute "ele ." numeric
@attribute "ele a" numeric
@attribute "ele não" numeric
@attribute "ele se" numeric
@attribute "em casa" numeric
@attribute "em cima" numeric
@attribute "em que" numeric
@attribute "em seu" numeric
@attribute "em silêncio" numeric
@attribute "em sua" numeric
@attribute "em torno" numeric
@attribute "entre os" numeric
@attribute "então ," numeric
@attribute "era a" numeric
@attribute "era o" numeric
@attribute "era um" numeric
@attribute "era uma" numeric
@attribute "espécie de" numeric
@attribute "eu não" numeric
@attribute "flor ," numeric
@attribute "gabriel heliodoro" numeric
@attribute "homem ," numeric
@attribute "homem ." numeric
@attribute "homem que" numeric
@attribute "isso ," numeric
@attribute "já não" numeric
@attribute "mais ." numeric
@attribute "mais de" numeric
@attribute "mas ," numeric
@attribute "mas a" numeric
@attribute "mas não" numeric
@attribute "mas o" numeric
@attribute "mesmo ," numeric
@attribute "mesmo ." numeric
@attribute "mesmo tempo" numeric
@attribute "mulher ." numeric
@attribute "mundo ." numeric
@attribute "na cama" numeric
@attribute "na mão" numeric
@attribute "na rua" numeric
@attribute "na sala" numeric
@attribute "na sua" numeric
@attribute "nada ." numeric
@attribute "no ar" numeric
@attribute "no chão" numeric
@attribute "no dia" numeric
@attribute "no entanto" numeric
@attribute "no fundo" numeric
@attribute "no meio" numeric
@attribute "no quarto" numeric
@attribute "no seu" numeric
@attribute "noite ," numeric
@attribute "não ," numeric
@attribute "não ." numeric
@attribute "não era" numeric
@attribute "não havia" numeric
@attribute "não lhe" numeric
@attribute "não me" numeric
@attribute "não o" numeric
@attribute "não pode" numeric
@attribute "não podia" numeric
@attribute "não sabia" numeric
@attribute "não se" numeric
@attribute "não sei" numeric
@attribute "não tem" numeric
@attribute "não tinha" numeric
@attribute "não é" numeric
@attribute "o ar" numeric
@attribute "o coração" numeric
@attribute "o coronel" numeric
@attribute "o corpo" numeric
@attribute "o dia" numeric
@attribute "o dr." numeric
@attribute "o homem" numeric
@attribute "o marido" numeric
@attribute "o meu" numeric
@attribute "o mundo" numeric
@attribute "o negro" numeric
@attribute "o nome" numeric
@attribute "o olhar" numeric
@attribute "o outro" numeric
@attribute "o padre" numeric
@attribute "o pai" numeric
@attribute "o primeiro" numeric
@attribute "o que" numeric
@attribute "o rosto" numeric
@attribute "o senhor" numeric
@attribute "o seu" numeric
@attribute "o sol" numeric
@attribute "o tempo" numeric
@attribute "o velho" numeric
@attribute "o vento" numeric
@attribute "olhos ," numeric
@attribute "olhos ." numeric
@attribute "olhou para" numeric
@attribute "os braços" numeric
@attribute "os dois" numeric
@attribute "os homens" numeric
@attribute "os lábios" numeric
@attribute "os olhos" numeric
@attribute "os outros" numeric
@attribute "os seus" numeric
@attribute "outro ," numeric
@attribute "para a" numeric
@attribute "para as" numeric
@attribute "para ele" numeric
@attribute "para o" numeric
@attribute "para os" numeric
@attribute "para que" numeric
@attribute "para um" numeric
@attribute "pelo menos" numeric
@attribute "por isso" numeric
@attribute "por que" numeric
@attribute "por um" numeric
@attribute "por uma" numeric
@attribute "porém ," numeric
@attribute "primeira vez" numeric
@attribute "quando a" numeric
@attribute "quando o" numeric
@attribute "que ," numeric
@attribute "que a" numeric
@attribute "que as" numeric
@attribute "que ela" numeric
@attribute "que ele" numeric
@attribute "que era" numeric
@attribute "que estava" numeric
@attribute "que está" numeric
@attribute "que eu" numeric
@attribute "que já" numeric
@attribute "que lhe" numeric
@attribute "que me" numeric
@attribute "que não" numeric
@attribute "que o" numeric
@attribute "que os" numeric
@attribute "que se" numeric
@attribute "que tinha" numeric
@attribute "que um" numeric
@attribute "que você" numeric
@attribute "que é" numeric
@attribute "quê ?" numeric
@attribute "rodrigo ," numeric
@attribute "rodrigo ." numeric
@attribute "sabia que" numeric
@attribute "sala de" numeric
@attribute "santa fé" numeric
@attribute "se a" numeric
@attribute "se ele" numeric
@attribute "se eu" numeric
@attribute "se não" numeric
@attribute "se o" numeric
@attribute "seus olhos" numeric
@attribute "silêncio ." numeric
@attribute "sim ," numeric
@attribute "sobre a" numeric
@attribute "sobre o" numeric
@attribute "sua vida" numeric
@attribute "tarde ," numeric
@attribute "tempo ," numeric
@attribute "toda a" numeric
@attribute "todas as" numeric
@attribute "todo o" numeric
@attribute "todos os" numeric
@attribute "tornou a" numeric
@attribute "tudo ," numeric
@attribute "tudo ." numeric
@attribute "um dia" numeric
@attribute "um dos" numeric
@attribute "um homem" numeric
@attribute "um instante" numeric
@attribute "um pouco" numeric
@attribute "uma coisa" numeric
@attribute "uma mulher" numeric
@attribute "uma vez" numeric
@attribute "vida ," numeric
@attribute "vida ." numeric
@attribute "à sua" numeric
@attribute "às vezes" numeric
@attribute "é a" numeric
@attribute "é o" numeric
@attribute "é que" numeric
@attribute "é um" numeric
@attribute "é uma" numeric
@attribute "— e" numeric
@attribute "— mas" numeric
@attribute "— não" numeric
@attribute "— o" numeric
@attribute "— que" numeric
@attribute "” ," numeric
@attribute "” ." numeric
@attribute class {clarice_lispector,érico_veríssimo,jorge_amado}
@data
0,0,0,3,81,8,4,17,42,66,3,44,8,4,4,1,0,0,11,20,14,7,6,33,15,13,43,10,7,10,12,1,12,17,1,5,10,67,58,9,37,21,5,20,17,10,13,6,33,3,0,18,53,3,10,7,8,10,13,25,17,0,47,8,7,7,15,9,13,20,11,6,0,0,52,0,5,9,0,0,43,3,19,1,1,1,2,6,5,8,9,2,0,5,1,2,5,2,0,13,5,7,12,10,7,2,10,16,4,11,0,1,4,3,9,9,7,6,16,4,5,4,6,7,4,9,3,7,30,5,4,5,18,10,6,3,16,8,6,7,10,39,16,16,2,1,2,3,6,4,0,32,14,4,37,2,30,4,4,10,4,16,21,7,6,20,22,4,11,8,9,11,6,6,11,0,17,1,0,0,32,41,5,1,8,6,6,4,17,7,3,16,7,3,12,9,20,32,7,7,6,0,14,0,0,11,13,13,14,9,15,5,4,15,9,5,4,33,1,2,1,5,5,11,7,14,14,12,6,18,0,0,6,7,3,7,7,12,3,14,7,17,3,5,12,4,1,8,6,4,6,2,13,7,4,3,4,26,3,3,5,8,5,27,17,16,7,7,17,9,7,4,13,31,15,9,11,16,7,3,0,4,8,0,11,7,11,14,0,5,4,3,0,1,5,72,11,16,21,9,3,1,1,9,8,1,7,4,5,4,45,4,4,4,11,0,5,28,2,7,6,7,9,25,12,3,6,8,2,6,21,30,9,19,28,14,6,3,41,8,10,25,47,32,6,39,7,5,7,16,25,0,0,11,2,0,5,8,4,9,7,2,12,28,19,11,10,5,4,3,10,11,16,1,3,7,18,3,14,10,33,4,7,11,5,12,12,9,0,0,54,11,0,0,0,0,0,0,19,46,clarice_lispector
5,45,26,0,183,7,13,61,54,50,10,58,2,54,8,0,7,249,85,29,35,18,18,7,23,13,21,5,10,3,21,4,11,15,6,8,7,50,155,8,62,8,6,14,5,6,11,19,44,6,0,29,49,3,14,7,12,9,20,27,19,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,17,25,0,60,0,26,40,10,28,9,4,23,3,0,123,58,14,20,18,24,13,4,51,26,16,3,15,10,12,11,5,29,1,15,0,8,9,16,69,18,2,9,9,7,7,3,35,3,10,7,4,7,68,23,3,5,83,27,15,4,31,19,17,24,17,61,23,14,2,12,22,20,2,3,0,3,52,39,34,6,20,19,23,19,6,24,34,30,5,88,75,5,5,7,13,5,6,7,4,2,39,0,0,0,39,109,14,4,18,6,8,8,53,8,8,34,11,9,0,12,33,64,20,5,14,71,16,17,9,21,16,12,23,33,11,7,19,17,14,8,0,43,0,12,1,18,14,12,43,45,29,19,4,3,2,0,6,13,12,4,14,15,2,8,12,19,13,12,5,9,14,10,5,12,18,13,22,5,13,13,5,12,6,21,9,8,10,15,4,33,17,7,5,14,0,8,16,60,6,2,13,8,32,6,0,13,12,0,23,20,1,19,0,7,20,4,0,1,9,174,53,6,29,11,10,0,33,6,7,2,6,12,4,11,50,10,4,9,31,1,1,39,7,10,8,9,3,15,36,15,5,9,10,12,30,80,13,52,36,40,17,6,5,9,27,5,56,75,18,103,4,13,18,13,3,0,0,4,19,0,16,6,4,9,4,1,14,28,45,22,13,5,6,13,8,8,5,0,4,3,21,9,44,31,52,12,15,12,8,4,0,35,0,0,0,0,0,69,19,24,28,20,0,0,clarice_lispector
1,17,23,0,178,19,5,49,47,130,10,88,14,31,13,0,0,81,39,18,35,8,15,43,12,17,116,12,6,7,18,3,21,27,8,10,8,116,159,24,78,27,5,36,26,14,28,32,85,8,0,34,79,7,27,5,16,20,31,74,38,0,0,30,15,17,0,22,27,65,37,20,42,7,75,14,7,17,0,0,1,7,48,0,9,7,9,10,6,21,3,28,1,32,14,11,5,0,0,23,13,13,27,22,16,1,19,53,2,28,0,7,7,24,37,21,22,11,16,16,13,6,29,12,17,6,1,12,36,16,6,7,34,21,15,6,28,20,8,41,36,95,81,57,3,11,0,7,12,10,0,47,63,4,52,8,33,21,8,32,10,54,31,8,19,73,51,9,56,15,31,30,13,9,7,4,54,0,0,0,20,70,13,6,18,4,13,8,61,13,5,33,8,6,18,11,36,72,9,5,10,0,20,15,0,11,14,20,48,19,16,23,10,18,13,5,8,42,10,6,6,1,17,6,20,9,15,18,3,36,0,0,17,25,10,14,4,10,2,5,14,35,17,16,8,7,20,6,5,5,6,2,13,11,15,3,9,33,15,8,5,26,14,47,21,39,11,11,16,19,6,17,26,66,32,10,4,32,23,10,0,45,10,0,44,5,5,17,0,3,13,2,0,27,2,233,42,3,20,12,11,1,9,28,14,3,11,15,5,21,101,8,12,16,28,3,6,55,3,6,14,11,12,75,9,6,3,10,10,4,17,64,10,66,42,13,13,4,52,12,12,28,86,48,8,86,5,9,32,30,38,0,0,25,3,0,8,10,11,14,7,18,9,71,41,24,17,6,9,17,28,18,17,0,22,17,32,3,25,41,55,21,16,25,17,15,25,41,0,0,69,17,0,0,0,0,0,0,0,0,clarice_lispector
0,0,0,0,231,10,38,46,172,213,3,99,13,245,9,2,0,844,149,311,58,14,55,58,45,24,135,30,19,15,20,2,29,40,3,25,17,154,301,14,49,34,125,99,33,10,31,8,159,17,0,122,105,17,37,18,42,21,26,63,34,0,0,2,50,7,195,32,75,59,65,56,0,0,129,0,36,26,0,0,87,29,61,19,11,33,16,23,7,21,53,118,4,52,31,22,31,18,0,48,38,84,54,12,32,3,31,91,3,30,0,7,28,32,42,27,39,12,24,2,17,13,49,11,12,7,4,53,180,36,12,15,224,53,114,14,92,74,37,56,33,464,94,76,8,14,1,19,13,17,0,17,185,51,188,28,107,61,67,63,16,70,76,37,20,228,176,29,25,25,26,45,13,14,18,11,132,10,0,0,93,0,26,13,30,41,68,11,137,24,17,38,92,15,27,41,93,163,24,25,27,0,95,42,0,46,56,24,75,54,68,40,37,147,106,6,4,125,5,20,1,18,3,86,105,97,82,53,22,49,3,0,74,61,71,27,61,27,10,38,42,47,36,41,30,27,27,13,24,29,2,1,52,26,21,16,9,99,16,25,5,46,15,40,13,87,35,45,26,42,5,21,63,136,37,16,48,36,37,29,0,24,17,0,339,1,7,62,3,6,23,21,1,9,18,642,47,83,79,41,62,3,34,17,19,17,8,14,18,7,108,55,12,17,70,13,24,83,14,33,22,39,13,79,95,20,11,67,27,18,177,198,47,162,339,101,75,14,76,52,111,13,217,288,41,254,46,84,19,131,25,0,0,62,0,0,53,55,20,56,58,39,21,64,20,18,29,13,19,18,12,14,16,2,26,23,67,7,234,91,110,34,59,55,26,21,125,42,197,0,408,58,0,0,0,0,0,0,193,90,clarice_lispector
0,0,0,2,110,11,15,22,42,79,7,49,8,0,6,0,5,445,18,7,31,6,35,190,21,15,83,26,13,5,14,2,15,16,3,9,7,87,107,7,12,17,41,29,15,6,10,2,85,6,0,30,37,1,8,0,25,6,6,16,18,0,0,3,21,2,64,23,19,6,15,20,0,0,2,0,30,35,0,0,10,21,2,3,2,28,11,2,105,6,0,3,1,18,8,19,9,1,16,18,15,19,58,2,16,1,21,22,1,15,0,4,13,9,25,5,4,6,5,0,1,2,11,4,6,2,3,16,42,15,4,5,51,17,10,3,18,12,3,33,27,67,33,33,8,2,1,6,20,7,0,92,39,7,51,15,13,12,14,9,5,10,8,12,9,113,108,4,26,12,12,21,2,3,19,4,73,0,0,0,35,140,15,8,10,12,7,11,36,5,9,2,4,7,60,10,53,0,1,16,8,0,21,17,0,32,5,5,10,3,8,3,0,8,1,0,1,24,0,4,0,3,4,15,25,53,24,28,10,130,1,0,7,4,4,11,19,15,3,9,13,19,17,8,13,14,4,18,4,2,1,0,7,17,13,3,1,34,2,2,12,2,8,31,13,33,14,1,59,10,5,10,21,33,36,27,11,65,8,2,0,13,1,0,13,0,68,38,0,7,8,13,0,1,13,306,3,1,15,12,14,0,1,10,8,0,0,2,4,2,30,14,4,3,29,6,3,36,3,19,8,24,14,22,19,12,5,13,6,2,63,77,7,12,8,42,23,12,245,25,2,95,122,60,10,94,6,8,0,102,10,0,0,35,1,0,13,1,64,12,8,6,11,11,8,9,5,2,6,8,11,8,8,0,11,6,10,6,10,10,12,11,16,5,14,35,0,8,0,142,170,58,0,0,0,0,0,0,25,14,clarice_lispector
9,50,21,0,156,5,8,15,74,60,1,40,6,45,4,0,0,179,71,21,37,12,23,16,22,10,37,2,2,2,11,0,8,13,1,11,5,64,110,12,48,12,17,20,6,8,10,8,51,8,1,24,35,8,10,8,10,8,13,21,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,23,11,8,0,27,0,17,30,10,12,5,4,4,0,5,2,33,51,18,7,13,7,7,27,13,11,3,16,2,6,10,3,16,7,8,0,9,11,7,10,14,4,11,5,0,6,2,21,7,8,7,5,2,56,21,6,1,48,26,20,5,34,29,7,16,6,89,28,31,1,10,0,5,2,0,0,8,52,14,23,9,25,15,9,15,6,12,28,11,4,55,47,1,13,6,12,5,5,5,20,6,17,1,0,0,51,50,6,7,11,11,17,3,34,10,0,31,9,5,11,5,18,45,15,7,11,0,14,9,24,0,17,11,30,17,11,1,5,8,13,9,2,23,1,4,0,12,19,17,16,17,22,18,2,7,2,0,7,10,7,8,16,7,5,18,9,18,14,4,6,11,6,8,5,15,4,8,19,10,11,9,1,10,6,10,3,16,6,15,2,35,9,4,5,6,1,6,11,40,1,3,14,11,8,9,0,11,9,0,29,17,1,15,0,4,5,8,0,18,6,105,16,1,24,4,5,6,2,15,13,6,3,11,3,6,62,15,1,11,25,6,3,29,6,12,4,5,1,14,28,5,8,3,10,6,34,58,12,51,22,22,6,1,16,9,15,8,71,41,12,59,13,11,2,15,5,3,0,11,6,0,9,1,3,8,7,15,3,12,10,5,3,4,6,8,8,9,10,0,8,3,8,0,21,27,45,12,10,13,4,10,0,16,0,0,51,0,10,32,7,17,21,13,0,0,clarice_lispector
0,0,0,0,0,0,0,1,2,4,0,2,1,0,0,0,0,25,2,2,0,0,0,8,0,1,13,1,0,1,1,0,1,3,0,0,0,6,4,1,1,2,2,2,13,0,5,1,9,0,0,4,2,0,0,0,4,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,1,0,0,2,0,0,1,6,0,20,0,2,2,0,0,1,1,2,0,0,0,0,1,1,0,3,0,0,0,3,3,0,4,0,0,0,0,3,0,2,3,8,0,1,0,1,0,2,7,2,1,6,1,0,1,8,2,1,1,3,2,0,1,1,3,0,2,0,0,1,0,1,0,1,5,5,0,3,1,7,1,3,1,0,0,0,0,4,7,4,1,0,1,1,2,2,0,1,2,4,0,0,0,3,0,2,0,0,0,1,2,8,1,0,0,2,1,5,2,6,0,3,1,2,16,2,0,0,0,1,0,1,0,2,1,2,1,1,6,4,0,0,0,0,1,0,2,1,1,3,1,1,7,0,0,0,0,4,0,0,1,0,2,1,3,1,1,4,0,1,0,0,2,2,0,1,1,0,1,2,0,2,3,0,0,0,0,1,2,1,0,0,0,0,1,0,7,0,0,6,2,0,2,0,1,4,0,3,0,3,1,0,3,0,5,0,1,2,13,0,1,3,0,3,0,0,0,0,1,0,3,0,0,1,0,1,4,6,2,1,2,3,1,6,0,1,2,3,0,0,0,2,1,6,8,2,4,3,6,3,1,18,1,0,2,13,2,3,7,3,1,1,7,2,0,0,1,0,0,1,0,3,2,0,0,0,2,1,1,0,0,0,2,10,1,4,0,0,3,3,0,4,0,7,6,0,1,0,1,0,7,7,10,0,11,6,0,0,0,0,0,0,0,clarice_lispector
0,0,0,0,2,0,0,2,0,2,0,1,0,0,0,0,0,4,0,2,1,0,2,2,1,0,5,1,0,0,0,0,2,0,0,0,0,2,2,0,0,1,0,1,5,0,0,0,6,0,0,2,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,2,1,0,0,2,0,0,0,0,1,0,0,0,1,3,1,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,3,2,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,2,0,5,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,0,0,0,0,0,2,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,2,1,0,0,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,6,1,1,12,2,0,1,1,0,0,1,7,7,1,3,1,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,2,1,0,0,1,3,0,4,0,3,14,1,0,1,1,0,0,0,1,1,clarice_lispector
0,11,9,0,257,7,10,97,75,129,6,122,11,64,17,0,0,79,200,62,25,22,40,20,11,19,66,19,5,8,16,2,15,22,3,19,17,142,290,10,180,19,9,25,10,10,6,73,77,9,0,18,86,18,73,20,25,17,52,114,77,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,9,11,0,147,0,23,79,1,16,6,18,25,4,8,2,16,43,47,29,24,11,4,60,40,35,10,41,17,11,3,10,99,2,40,0,4,15,41,51,27,12,23,25,9,15,5,16,5,14,12,6,20,104,36,11,13,108,75,15,8,119,79,20,36,72,227,81,78,13,15,12,15,14,4,0,3,71,5,71,13,29,27,22,69,18,87,83,56,18,123,112,4,26,10,29,23,11,17,14,6,65,3,0,0,7,100,18,11,17,28,50,11,112,29,15,106,17,12,0,19,48,106,33,12,14,90,34,42,33,30,23,25,85,83,16,16,21,20,22,9,4,51,10,18,8,9,13,22,39,48,35,28,24,19,2,0,13,9,3,16,12,12,4,2,15,49,32,14,13,15,13,9,10,10,12,11,39,15,39,11,7,62,25,40,23,58,15,69,11,56,18,12,11,16,8,25,37,100,17,8,11,31,53,52,0,67,26,0,15,7,0,30,1,1,16,9,0,57,6,277,95,7,54,19,11,4,36,27,12,10,13,31,8,55,241,11,7,6,100,4,5,82,14,7,19,8,8,40,67,17,7,30,10,9,8,102,12,161,71,41,17,3,31,16,44,6,120,72,11,107,8,12,30,40,30,0,0,27,12,0,13,17,8,8,11,43,13,155,43,38,60,9,13,33,18,19,18,1,15,4,51,8,34,120,88,16,32,34,25,30,0,60,0,0,0,0,0,71,63,56,58,14,0,0,clarice_lispector
9,5,15,1,25,0,1,14,24,29,7,30,4,0,9,0,0,15,1,3,3,6,3,19,8,2,11,3,1,4,3,3,5,15,3,1,1,23,40,9,16,9,13,11,8,5,9,1,79,2,0,6,12,1,3,0,4,0,9,23,3,0,0,0,0,0,1,0,0,0,0,0,0,23,0,36,3,6,0,54,0,6,10,3,1,5,11,2,22,8,0,0,0,5,8,1,7,2,0,10,4,5,9,2,4,3,2,7,4,5,0,5,3,5,4,7,0,9,1,1,2,1,1,0,2,1,3,3,22,12,1,3,53,18,3,2,11,7,7,5,10,13,16,6,6,5,8,4,7,2,0,13,20,2,28,2,19,2,6,9,5,0,6,0,4,33,13,2,7,8,7,3,6,11,7,5,10,21,0,0,9,38,1,2,13,3,3,8,22,7,2,0,2,2,11,7,10,33,11,3,1,0,7,3,0,0,1,1,0,0,4,8,1,3,0,0,8,23,0,8,1,2,8,1,10,16,28,15,1,20,0,0,2,5,11,0,2,2,8,5,11,11,5,0,7,3,3,7,0,5,5,0,3,9,11,7,5,5,2,8,0,1,8,1,2,10,6,1,20,3,4,6,2,11,14,1,4,2,5,2,0,8,10,2,12,0,21,4,1,27,0,1,3,1,7,30,4,0,6,5,15,0,4,4,4,2,5,2,9,0,11,7,2,7,43,18,2,56,13,1,1,0,4,9,10,6,4,1,3,6,11,22,8,4,14,22,5,3,22,1,4,25,33,29,11,31,6,4,0,9,2,0,0,3,0,0,2,2,5,6,1,4,9,4,0,0,0,2,6,11,10,8,13,7,3,4,28,12,25,3,5,4,0,2,4,12,12,9,0,0,22,10,9,4,5,4,9,6,0,0,érico_veríssimo
