@relation autorship_identification
@attribute ", a boca" numeric
@attribute ", a cabeça" numeric
@attribute ", a gente" numeric
@attribute ", a mulher" numeric
@attribute ", a quem" numeric
@attribute ", a vida" numeric
@attribute ", a voz" numeric
@attribute ", além de" numeric
@attribute ", antes de" numeric
@attribute ", apesar de" numeric
@attribute ", as mãos" numeric
@attribute ", cheia de" numeric
@attribute ", com a" numeric
@attribute ", com as" numeric
@attribute ", com o" numeric
@attribute ", com os" numeric
@attribute ", com sua" numeric
@attribute ", com um" numeric
@attribute ", com uma" numeric
@attribute ", começou a" numeric
@attribute ", como a" numeric
@attribute ", como o" numeric
@attribute ", como se" numeric
@attribute ", como um" numeric
@attribute ", como uma" numeric
@attribute ", de olhos" numeric
@attribute ", de um" numeric
@attribute ", depois de" numeric
@attribute ", dona flor" numeric
@attribute ", doutor ." numeric
@attribute ", e ," numeric
@attribute ", e a" numeric
@attribute ", e de" numeric
@attribute ", e depois" numeric
@attribute ", e ele" numeric
@attribute ", e não" numeric
@attribute ", e o" numeric
@attribute ", e os" numeric
@attribute ", e que" numeric
@attribute ", e se" numeric
@attribute ", ela não" numeric
@attribute ", ele não" numeric
@attribute ", ele se" numeric
@attribute ", entretanto ," numeric
@attribute ", então ," numeric
@attribute ", era um" numeric
@attribute ", eu não" numeric
@attribute ", mas a" numeric
@attribute ", mas não" numeric
@attribute ", mas o" numeric
@attribute ", mas que" numeric
@attribute ", meu bem" numeric
@attribute ", meu filho" numeric
@attribute ", minha filha" numeric
@attribute ", no entanto" numeric
@attribute ", não ." numeric
@attribute ", não era" numeric
@attribute ", não me" numeric
@attribute ", não podia" numeric
@attribute ", não se" numeric
@attribute ", não sei" numeric
@attribute ", não é" numeric
@attribute ", o coração" numeric
@attribute ", o coronel" numeric
@attribute ", o corpo" numeric
@attribute ", o homem" numeric
@attribute ", o que" numeric
@attribute ", o rosto" numeric
@attribute ", o senhor" numeric
@attribute ", olhando para" numeric
@attribute ", os cabelos" numeric
@attribute ", os lábios" numeric
@attribute ", os olhos" numeric
@attribute ", para a" numeric
@attribute ", para o" numeric
@attribute ", pelo menos" numeric
@attribute ", pois ," numeric
@attribute ", por exemplo" numeric
@attribute ", por que" numeric
@attribute ", porém ," numeric
@attribute ", quando o" numeric
@attribute ", que a" numeric
@attribute ", que ele" numeric
@attribute ", que era" numeric
@attribute ", que estava" numeric
@attribute ", que lhe" numeric
@attribute ", que não" numeric
@attribute ", que o" numeric
@attribute ", que se" numeric
@attribute ", que é" numeric
@attribute ", quem sabe" numeric
@attribute ", se não" numeric
@attribute ", sem saber" numeric
@attribute ", sim ," numeric
@attribute ", sim ." numeric
@attribute ", um homem" numeric
@attribute ", um pouco" numeric
@attribute "- ah !" numeric
@attribute "- e o" numeric
@attribute "- não ," numeric
@attribute "- não ." numeric
@attribute "- não sei" numeric
@attribute "- não é" numeric
@attribute "- o que" numeric
@attribute "- o senhor" numeric
@attribute "- ora ," numeric
@attribute "- por que" numeric
@attribute "- que é" numeric
@attribute ": - a" numeric
@attribute ": - e" numeric
@attribute ": - mas" numeric
@attribute ": - não" numeric
@attribute ": - o" numeric
@attribute ": - que" numeric
@attribute ": - é" numeric
@attribute ": — não" numeric
@attribute "a cabeça ," numeric
@attribute "a cabeça ." numeric
@attribute "a cabeça e" numeric
@attribute "a cabeça para" numeric
@attribute "a casa de" numeric
@attribute "a idéia de" numeric
@attribute "a impressão de" numeric
@attribute "a mão ," numeric
@attribute "a mão de" numeric
@attribute "a mão no" numeric
@attribute "a olhar para" numeric
@attribute "a ponto de" numeric
@attribute "a porta ." numeric
@attribute "a porta do" numeric
@attribute "a sala de" numeric
@attribute "a seu lado" numeric
@attribute "a si mesmo" numeric
@attribute "a sua vida" numeric
@attribute "a ver com" numeric
@attribute "a verdade é" numeric
@attribute "a vida ." numeric
@attribute "a vida é" numeric
@attribute "a voz de" numeric
@attribute "a voz do" numeric
@attribute "alguma coisa ," numeric
@attribute "alguma coisa ." numeric
@attribute "ambas as mãos" numeric
@attribute "ao lado de" numeric
@attribute "ao lado do" numeric
@attribute "ao mesmo tempo" numeric
@attribute "ao pé da" numeric
@attribute "as mãos ," numeric
@attribute "as mãos ." numeric
@attribute "cada vez mais" numeric
@attribute "chefe de polícia" numeric
@attribute "cima da mesa" numeric
@attribute "com a cabeça" numeric
@attribute "com a mão" numeric
@attribute "com a sua" numeric
@attribute "com as mãos" numeric
@attribute "com ela ," numeric
@attribute "com ela ." numeric
@attribute "com ele ," numeric
@attribute "com ele ." numeric
@attribute "com o olhar" numeric
@attribute "com o rosto" numeric
@attribute "com o seu" numeric
@attribute "com os olhos" numeric
@attribute "com toda a" numeric
@attribute "como se a" numeric
@attribute "como se ela" numeric
@attribute "como se ele" numeric
@attribute "como se estivesse" numeric
@attribute "como se fosse" numeric
@attribute "como se não" numeric
@attribute "como se o" numeric
@attribute "como se tivesse" numeric
@attribute "como é que" numeric
@attribute "da cama ," numeric
@attribute "da casa ," numeric
@attribute "da casa ." numeric
@attribute "da casa de" numeric
@attribute "da cidade ," numeric
@attribute "da cidade ." numeric
@attribute "da noite ," numeric
@attribute "da noite ." numeric
@attribute "da sala ," numeric
@attribute "da sala de" numeric
@attribute "da tarde ," numeric
@attribute "da vida ," numeric
@attribute "da vida ." numeric
@attribute "de algum modo" numeric
@attribute "de amor ." numeric
@attribute "de certo modo" numeric
@attribute "de deus ," numeric
@attribute "de deus ." numeric
@attribute "de dona flor" numeric
@attribute "de mangue seco" numeric
@attribute "de mim ," numeric
@attribute "de mim ." numeric
@attribute "de novo ," numeric
@attribute "de novo ." numeric
@attribute "de novo a" numeric
@attribute "de pé ," numeric
@attribute "de quando em" numeric
@attribute "de que a" numeric
@attribute "de que ele" numeric
@attribute "de que o" numeric
@attribute "de repente ," numeric
@attribute "de santa fé" numeric
@attribute "de sua vida" numeric
@attribute "de são paulo" numeric
@attribute "de súbito ," numeric
@attribute "de todas as" numeric
@attribute "de todos os" numeric
@attribute "de tudo ," numeric
@attribute "de um homem" numeric
@attribute "de um lado" numeric
@attribute "de uma vez" numeric
@attribute "de vez em" numeric
@attribute "dentro de si" numeric
@attribute "dia em que" numeric
@attribute "dia seguinte ," numeric
@attribute "disse : -" numeric
@attribute "disse : —" numeric
@attribute "do marido ," numeric
@attribute "do mata gato" numeric
@attribute "do mundo ," numeric
@attribute "do mundo ." numeric
@attribute "do outro lado" numeric
@attribute "dona carmosina ," numeric
@attribute "dona flor ," numeric
@attribute "dona norma ," numeric
@attribute "dona rozilda ," numeric
@attribute "dum lado para" numeric
@attribute "e , com" numeric
@attribute "e , como" numeric
@attribute "e , se" numeric
@attribute "e agora ," numeric
@attribute "e ao mesmo" numeric
@attribute "e começou a" numeric
@attribute "e de novo" numeric
@attribute "e de repente" numeric
@attribute "e depois ," numeric
@attribute "e disse :" numeric
@attribute "e ficou a" numeric
@attribute "e no entanto" numeric
@attribute "e o que" numeric
@attribute "em busca de" numeric
@attribute "em casa ," numeric
@attribute "em cima da" numeric
@attribute "em cima do" numeric
@attribute "em que a" numeric
@attribute "em que o" numeric
@attribute "em que se" numeric
@attribute "em santa fé" numeric
@attribute "em silêncio ," numeric
@attribute "em silêncio ." numeric
@attribute "em toda a" numeric
@attribute "em vez de" numeric
@attribute "em voz alta" numeric
@attribute "encolheu os ombros" numeric
@attribute "era como se" numeric
@attribute "era um homem" numeric
@attribute "está bem ." numeric
@attribute "fez uma pausa" numeric
@attribute "impressão de que" numeric
@attribute "lado para outro" numeric
@attribute "mais do que" numeric
@attribute "mais tarde ," numeric
@attribute "mais uma vez" numeric
@attribute "mangue seco ," numeric
@attribute "mas o que" numeric
@attribute "momento em que" numeric
@attribute "na cama ," numeric
@attribute "na cama ." numeric
@attribute "na direção da" numeric
@attribute "na direção do" numeric
@attribute "na mão ," numeric
@attribute "na mão ." numeric
@attribute "na rua ," numeric
@attribute "na sala de" numeric
@attribute "no ar ," numeric
@attribute "no ar ." numeric
@attribute "no chão ," numeric
@attribute "no chão ." numeric
@attribute "no dia em" numeric
@attribute "no dia seguinte" numeric
@attribute "no entanto ," numeric
@attribute "no fim de" numeric
@attribute "no meio da" numeric
@attribute "no meio do" numeric
@attribute "no momento em" numeric
@attribute "no peito ," numeric
@attribute "no quarto ," numeric
@attribute "não , não" numeric
@attribute "não sei ," numeric
@attribute "não sei ." numeric
@attribute "não é ?" numeric
@attribute "o fato de" numeric
@attribute "o homem que" numeric
@attribute "o nome de" numeric
@attribute "o outro ," numeric
@attribute "o padre lara" numeric
@attribute "o que a" numeric
@attribute "o que ela" numeric
@attribute "o que ele" numeric
@attribute "o que era" numeric
@attribute "o que eu" numeric
@attribute "o que fazer" numeric
@attribute "o que lhe" numeric
@attribute "o que me" numeric
@attribute "o que não" numeric
@attribute "o que o" numeric
@attribute "o que se" numeric
@attribute "o que é" numeric
@attribute "o quê ?" numeric
@attribute "o rosto de" numeric
@attribute "o senhor não" numeric
@attribute "olhando para o" numeric
@attribute "olhar para o" numeric
@attribute "olhou para o" numeric
@attribute "os lábios ," numeric
@attribute "os olhos ," numeric
@attribute "os olhos ." numeric
@attribute "os olhos de" numeric
@attribute "os olhos do" numeric
@attribute "os olhos e" numeric
@attribute "os olhos para" numeric
@attribute "os ombros ." numeric
@attribute "para a cama" numeric
@attribute "para a frente" numeric
@attribute "para a sala" numeric
@attribute "para ele ," numeric
@attribute "para o céu" numeric
@attribute "para o outro" numeric
@attribute "para o quarto" numeric
@attribute "para outro ," numeric
@attribute "pela primeira vez" numeric
@attribute "perguntou : -" numeric
@attribute "por alguns instantes" numeric
@attribute "por alguns segundos" numeric
@attribute "por exemplo ," numeric
@attribute "por fim ," numeric
@attribute "por que não" numeric
@attribute "por que é" numeric
@attribute "por quê ?" numeric
@attribute "por um instante" numeric
@attribute "quando em quando" numeric
@attribute "que , se" numeric
@attribute "que a gente" numeric
@attribute "que diabo !" numeric
@attribute "que ela não" numeric
@attribute "que ele não" numeric
@attribute "que ele se" numeric
@attribute "que eu não" numeric
@attribute "que foi que" numeric
@attribute "que não era" numeric
@attribute "que não se" numeric
@attribute "que o homem" numeric
@attribute "que o senhor" numeric
@attribute "que um dia" numeric
@attribute "que um homem" numeric
@attribute "que é que" numeric
@attribute "quem sabe ," numeric
@attribute "rodrigo , que" numeric
@attribute "sabe o que" numeric
@attribute "sacudiu a cabeça" numeric
@attribute "sala de jantar" numeric
@attribute "sala de visitas" numeric
@attribute "santa fé ," numeric
@attribute "santa fé ." numeric
@attribute "seu lado ," numeric
@attribute "si mesmo ." numeric
@attribute "sobre a mesa" numeric
@attribute "soledad del mar" numeric
@attribute "sua vida ," numeric
@attribute "sua vida ." numeric
@attribute "são paulo ," numeric
@attribute "toda a sua" numeric
@attribute "todo o mundo" numeric
@attribute "todos os dias" numeric
@attribute "tudo o que" numeric
@attribute "um dia ," numeric
@attribute "um gesto de" numeric
@attribute "um homem ." numeric
@attribute "um homem de" numeric
@attribute "um homem que" numeric
@attribute "um instante ," numeric
@attribute "um pedaço de" numeric
@attribute "um pouco de" numeric
@attribute "uma espécie de" numeric
@attribute "uma vez ," numeric
@attribute "verdade é que" numeric
@attribute "vez em quando" numeric
@attribute "à noite ," numeric
@attribute "é o que" numeric
@attribute "é que a" numeric
@attribute "é que ele" numeric
@attribute "é que eu" numeric
@attribute "é que não" numeric
@attribute "é que o" numeric
@attribute "é que você" numeric
@attribute "é um homem" numeric
@attribute class {clarice_lispector,érico_veríssimo,jorge_amado}
@data
0,2,0,0,1,2,7,1,1,3,1,6,7,1,3,1,1,4,3,1,3,2,22,4,4,0,1,3,0,0,0,0,0,0,2,4,2,0,1,1,1,4,1,0,0,1,2,3,7,1,3,2,0,1,5,4,3,1,1,3,3,3,0,0,1,1,16,3,0,0,1,2,16,0,0,0,2,3,3,6,1,0,2,1,0,0,3,0,2,2,3,2,4,5,4,0,6,0,1,4,2,0,0,2,4,0,1,1,1,3,3,3,1,0,0,0,4,1,1,4,0,1,2,0,0,0,3,1,0,0,0,0,5,1,4,0,0,2,0,0,3,2,0,0,0,4,0,2,1,5,0,0,2,0,0,1,1,2,0,1,0,0,2,3,1,3,0,3,2,3,2,1,2,1,1,0,0,0,1,1,2,1,2,1,0,0,1,0,1,1,2,0,0,0,13,7,2,2,2,1,2,3,2,0,7,0,6,0,0,1,4,1,2,2,0,0,3,4,1,3,0,2,0,1,2,0,0,0,0,0,0,1,3,1,0,1,0,0,6,2,2,0,3,2,0,0,1,1,1,3,2,0,0,1,0,1,0,0,3,1,0,0,3,2,3,0,0,0,0,4,3,2,0,0,2,0,3,1,1,1,0,2,1,2,14,0,0,0,0,2,1,11,2,2,2,2,1,4,2,0,4,1,1,2,4,6,1,3,3,0,3,4,8,1,4,0,2,0,0,6,5,0,0,8,1,0,0,1,0,3,2,1,0,1,6,2,1,0,2,0,7,4,6,2,2,2,0,0,4,1,3,5,0,3,4,1,2,2,1,10,2,0,5,0,0,1,0,0,2,3,4,0,1,2,0,1,3,2,6,3,1,0,1,0,1,3,9,3,4,0,0,1,0,0,3,5,3,0,2,0,clarice_lispector
4,3,0,7,3,0,1,0,1,2,8,5,6,2,7,1,1,7,0,4,4,2,15,3,2,3,0,2,0,5,4,14,6,5,2,6,11,7,9,3,5,4,4,0,1,1,1,3,3,0,1,0,0,2,1,0,5,1,1,7,0,3,2,0,2,1,13,2,2,2,5,2,6,2,1,2,0,3,2,3,2,0,2,0,1,3,2,1,3,0,4,1,3,10,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,3,5,4,1,2,2,0,1,1,1,3,2,4,3,3,2,0,0,0,0,1,1,3,3,0,2,0,9,1,1,0,28,0,0,2,2,4,0,0,1,1,2,4,11,2,8,0,8,1,3,1,3,2,1,5,1,1,2,0,0,2,7,5,2,4,4,1,1,0,8,1,0,2,1,0,0,0,0,4,4,3,12,5,4,4,0,2,0,5,0,4,0,1,0,12,6,0,2,1,0,2,0,5,2,0,0,1,0,0,0,0,0,0,2,0,6,2,2,2,4,2,1,0,0,1,6,1,2,0,0,2,1,4,0,1,9,0,5,1,0,1,3,0,0,2,2,11,2,2,0,1,7,1,1,0,0,6,2,3,8,1,3,1,4,0,4,0,0,10,2,0,0,0,2,1,1,1,2,2,1,0,0,10,9,3,14,1,3,7,1,11,6,10,1,0,5,1,1,0,1,1,3,5,2,2,4,2,0,0,6,2,1,3,1,1,0,6,0,0,0,1,0,5,0,0,15,5,3,2,0,3,2,2,0,0,3,9,3,0,5,1,7,1,0,1,0,5,12,0,0,2,0,7,0,0,1,0,1,0,1,18,1,0,6,1,4,2,0,1,0,0,1,2,0,0,3,2,1,2,0,6,0,clarice_lispector
3,2,1,3,0,3,11,1,3,11,8,10,4,1,4,4,0,5,3,2,11,7,34,16,10,5,4,6,0,0,3,1,0,2,0,4,2,0,2,1,5,2,2,0,0,2,8,5,11,6,3,4,2,0,4,8,5,0,0,5,3,7,4,0,13,6,17,17,0,2,6,8,33,2,4,3,0,11,8,3,2,5,4,1,2,2,3,6,5,3,3,5,3,16,8,0,10,0,1,10,6,12,5,14,1,0,4,5,0,0,5,4,3,3,4,0,9,5,2,5,0,0,5,4,2,3,1,3,2,0,1,0,4,3,2,2,3,2,5,0,5,10,0,4,0,7,0,3,2,27,0,2,4,5,0,3,1,1,0,3,1,0,1,4,1,2,9,4,3,6,5,4,10,2,2,1,1,0,0,0,0,1,2,0,2,2,1,5,2,4,2,4,0,0,15,9,9,7,8,1,7,1,1,0,10,0,2,0,0,9,0,6,3,10,0,0,25,1,2,3,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,2,1,3,15,0,1,0,1,0,1,2,2,2,6,0,6,0,1,2,0,5,0,1,2,1,1,0,5,7,23,2,5,0,7,13,3,1,0,0,3,1,3,0,5,5,1,2,0,4,7,1,3,4,10,1,3,19,7,8,2,1,2,0,2,0,1,8,3,1,15,14,1,7,9,1,9,12,21,2,0,0,1,0,3,18,11,0,1,10,1,0,0,2,1,1,2,0,1,5,6,0,0,0,10,0,22,1,12,2,7,1,0,0,9,1,1,7,2,6,10,6,1,4,0,12,2,0,6,0,0,0,0,0,1,4,11,0,4,4,0,5,2,1,33,6,0,6,1,2,10,1,19,2,4,5,0,3,15,4,1,5,3,0,6,0,clarice_lispector
1,3,1,16,1,8,1,5,4,8,0,2,30,4,36,14,2,10,9,7,6,4,91,12,12,4,4,2,0,0,18,55,22,6,35,22,34,4,43,20,18,32,38,0,10,4,7,8,10,2,3,0,11,0,14,0,9,7,0,8,8,4,6,0,3,50,65,3,12,1,1,1,6,3,3,4,44,21,8,10,3,4,5,9,4,2,5,10,15,12,13,9,9,18,11,10,10,0,8,11,4,11,2,21,13,3,7,10,6,0,1,12,6,7,13,0,10,9,3,3,0,9,6,2,1,3,0,23,4,10,0,1,11,7,20,21,1,2,1,1,4,9,0,1,2,27,0,2,4,32,0,0,9,10,2,5,2,1,5,5,4,13,4,23,1,29,12,31,9,16,19,28,37,17,2,5,3,0,1,0,3,7,0,0,1,2,4,37,11,1,6,4,0,0,4,2,12,13,12,16,0,8,21,13,8,0,8,0,2,4,1,2,43,6,5,8,8,2,5,11,0,0,0,2,6,0,0,0,0,0,0,4,8,4,8,2,2,22,7,1,5,0,22,23,0,2,1,1,11,12,6,0,5,6,3,10,0,0,34,9,0,2,3,6,30,5,1,0,11,17,8,7,0,0,10,8,0,0,1,10,3,8,0,7,27,0,10,3,3,6,1,12,14,2,5,26,9,0,4,0,12,22,40,17,9,12,44,4,23,20,30,22,13,4,14,3,1,6,0,11,12,2,5,4,1,1,2,7,0,7,3,4,2,2,54,1,0,0,26,0,10,12,7,50,0,13,3,4,16,35,12,6,4,10,25,41,29,16,30,54,10,0,4,2,0,0,0,0,0,16,0,0,5,6,1,8,4,5,50,4,5,21,7,43,10,2,5,13,7,19,8,0,0,5,19,11,9,26,7,7,clarice_lispector
0,0,1,0,2,4,0,3,4,2,0,0,4,1,3,5,1,4,1,0,8,3,15,3,4,1,2,5,0,0,11,20,10,1,1,21,20,1,27,2,2,0,0,0,5,3,18,2,6,6,4,0,0,0,6,2,4,5,0,2,9,7,0,0,2,3,26,0,0,0,0,0,0,2,3,3,3,3,1,5,0,4,1,5,1,0,2,3,2,11,2,1,4,6,2,0,0,1,1,2,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,1,0,6,2,5,0,1,3,0,0,1,5,3,0,0,2,0,0,1,1,13,0,1,1,7,0,0,0,1,1,5,2,1,0,1,3,0,1,5,0,2,1,1,1,5,1,4,0,3,2,0,0,0,0,0,0,2,0,0,0,1,10,5,5,0,5,0,0,0,16,15,5,2,4,3,0,2,1,3,1,0,1,0,3,3,3,0,4,0,0,2,0,0,0,2,0,0,0,5,5,1,0,0,0,0,0,2,6,3,0,0,0,3,3,2,0,0,6,0,0,0,0,0,1,2,1,0,2,1,0,7,0,0,5,0,0,0,0,0,13,1,0,0,6,6,1,2,0,0,0,0,0,0,6,4,1,1,0,0,5,0,0,1,0,0,3,16,3,5,1,2,2,0,2,0,4,2,1,10,52,4,1,23,13,1,12,19,3,0,0,0,0,0,0,8,4,1,1,3,0,0,0,2,0,1,0,0,3,0,13,0,0,0,3,0,9,1,2,5,0,4,6,0,1,2,0,25,2,4,14,0,0,2,0,3,4,0,0,0,1,0,0,0,1,7,0,0,1,0,0,0,5,1,24,0,0,0,0,1,3,14,0,4,0,0,2,0,15,4,1,13,6,3,0,0,clarice_lispector
3,4,0,6,2,1,1,0,2,2,0,0,11,4,7,8,2,10,2,1,3,1,24,9,5,0,2,4,0,0,7,13,3,5,3,7,5,2,5,2,9,0,3,0,1,3,1,0,3,2,1,0,1,0,3,1,4,0,0,8,0,2,2,0,3,1,13,3,0,2,6,0,5,0,2,1,3,2,3,7,3,1,1,1,0,0,6,0,4,1,1,0,4,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,4,1,1,2,3,1,0,0,1,1,1,4,1,0,0,0,2,1,2,3,0,0,2,0,0,1,2,11,0,5,1,15,0,1,4,2,0,5,0,3,1,0,4,0,4,8,0,5,4,1,4,5,5,5,8,0,1,3,2,1,0,0,1,1,0,2,2,0,0,0,1,2,0,0,0,0,4,0,5,4,9,6,0,1,0,0,1,0,1,0,2,0,0,2,5,4,1,5,5,1,1,0,3,1,0,2,6,0,0,0,0,0,0,3,7,5,2,2,1,2,6,0,2,0,1,2,0,0,0,0,1,1,5,0,0,2,2,2,0,0,2,1,0,0,1,3,4,1,6,0,1,4,2,0,0,0,6,5,1,1,2,4,0,3,1,0,2,0,6,0,2,1,0,6,1,0,0,3,3,1,3,0,2,6,3,6,1,4,3,0,7,4,2,2,3,1,0,1,0,2,1,9,7,1,6,0,1,1,0,5,0,0,1,0,0,2,2,0,0,0,2,0,3,0,2,16,0,1,0,0,5,1,0,2,1,5,7,1,1,5,1,8,0,0,3,0,3,0,0,0,0,0,5,0,0,1,0,2,4,6,5,0,1,4,0,3,4,0,4,0,2,1,5,1,0,6,1,0,2,2,0,0,clarice_lispector
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,2,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,4,0,0,0,1,0,0,1,3,0,0,0,1,3,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,2,0,1,0,1,0,0,1,0,0,1,1,2,0,1,0,0,clarice_lispector
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,clarice_lispector
7,17,0,1,1,4,5,0,0,2,6,6,5,1,2,4,1,8,3,5,5,13,24,10,8,6,5,2,0,0,0,1,3,2,0,3,5,0,2,0,10,3,1,0,1,2,5,0,9,3,1,5,2,3,4,2,6,1,1,11,4,13,19,0,21,3,18,40,1,2,9,20,65,3,1,1,1,2,2,3,0,7,5,1,1,2,11,3,6,1,4,0,1,52,10,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,4,6,4,1,5,7,3,1,8,1,4,3,2,3,0,5,16,1,1,6,0,1,1,1,4,1,1,1,15,1,4,1,11,0,0,10,8,3,5,1,2,3,1,4,10,5,37,2,9,18,8,2,14,4,7,16,5,1,2,4,2,3,4,2,3,3,2,2,2,4,21,1,4,0,1,0,0,2,0,5,10,7,2,2,6,5,1,2,0,21,0,5,0,2,6,3,1,4,1,16,2,1,0,11,2,0,2,3,1,0,0,0,0,0,0,0,0,2,3,1,7,11,3,0,0,8,15,2,3,0,0,4,4,4,0,2,7,6,8,0,2,6,5,1,0,6,1,15,3,9,0,14,1,3,3,0,0,2,3,1,3,7,6,3,1,0,6,8,0,10,11,0,5,6,22,7,3,9,0,1,0,2,0,8,21,9,5,8,8,9,1,13,0,8,19,11,6,2,2,1,2,8,20,8,6,2,19,2,3,2,31,1,0,1,3,2,1,23,0,0,0,4,0,13,4,17,18,2,0,4,0,14,3,8,2,2,15,24,1,1,4,1,14,3,0,5,0,5,1,0,0,4,6,7,0,9,13,0,12,3,1,13,3,3,4,0,2,15,3,20,17,3,1,1,1,0,2,3,3,0,2,10,0,clarice_lispector
0,1,0,0,0,0,0,0,0,1,0,1,2,2,8,1,1,4,2,1,3,0,8,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,1,1,2,1,1,0,0,3,0,0,0,0,0,1,3,2,0,0,0,0,3,2,0,0,3,0,0,1,0,1,0,2,2,1,4,1,1,0,4,1,0,5,2,4,1,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,5,0,1,2,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,2,1,0,1,3,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,1,1,2,2,2,1,0,0,1,1,1,0,0,0,1,0,0,0,4,1,1,1,0,0,0,3,0,0,1,0,0,0,0,3,3,2,2,0,0,1,3,0,2,3,0,0,1,0,4,3,0,4,2,1,1,0,2,0,0,9,0,0,0,3,4,0,0,0,0,5,0,0,0,0,2,2,1,3,0,8,0,0,0,2,0,0,0,4,1,1,0,2,5,4,0,0,0,0,10,0,0,3,7,0,2,0,0,0,3,0,0,1,5,0,3,0,0,0,5,1,6,2,1,1,6,3,2,2,1,0,0,0,2,0,1,5,17,0,0,0,2,1,2,0,0,0,2,1,1,3,1,0,0,0,2,0,0,0,0,3,0,1,0,1,0,0,0,0,0,7,0,1,4,1,0,0,0,1,0,3,0,1,2,1,0,1,0,0,1,0,4,4,0,2,1,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,3,3,0,3,2,0,0,1,1,0,1,1,0,1,0,0,2,0,1,0,0,érico_veríssimo
