@relation autorship_identification
@attribute "- a" numeric
@attribute "- disse" numeric
@attribute "- e" numeric
@attribute "- eu" numeric
@attribute "- mas" numeric
@attribute "- não" numeric
@attribute "- o" numeric
@attribute "- pois" numeric
@attribute "- por" numeric
@attribute "- que" numeric
@attribute "- se" numeric
@attribute "- é" numeric
@attribute ": -" numeric
@attribute ": a" numeric
@attribute ": não" numeric
@attribute ": o" numeric
@attribute ": –" numeric
@attribute ": —" numeric
@attribute "a boca" numeric
@attribute "a cabeça" numeric
@attribute "a cara" numeric
@attribute "a casa" numeric
@attribute "a cidade" numeric
@attribute "a coisa" numeric
@attribute "a filha" numeric
@attribute "a gente" numeric
@attribute "a história" numeric
@attribute "a impressão" numeric
@attribute "a luz" numeric
@attribute "a mesma" numeric
@attribute "a minha" numeric
@attribute "a morte" numeric
@attribute "a moça" numeric
@attribute "a mulher" numeric
@attribute "a mãe" numeric
@attribute "a mão" numeric
@attribute "a noite" numeric
@attribute "a porta" numeric
@attribute "a primeira" numeric
@attribute "a que" numeric
@attribute "a quem" numeric
@attribute "a rua" numeric
@attribute "a sala" numeric
@attribute "a senhora" numeric
@attribute "a ser" numeric
@attribute "a seu" numeric
@attribute "a si" numeric
@attribute "a sua" numeric
@attribute "a um" numeric
@attribute "a uma" numeric
@attribute "a verdade" numeric
@attribute "a vida" numeric
@attribute "a voz" numeric
@attribute "ah !" numeric
@attribute "ainda não" numeric
@attribute "alguma coisa" numeric
@attribute "anos ." numeric
@attribute "antes de" numeric
@attribute "antônio balduíno" numeric
@attribute "ao lado" numeric
@attribute "ao mesmo" numeric
@attribute "aos poucos" numeric
@attribute "as coisas" numeric
@attribute "as mãos" numeric
@attribute "até a" numeric
@attribute "até o" numeric
@attribute "até que" numeric
@attribute "bem ." numeric
@attribute "cabeça ." numeric
@attribute "cada vez" numeric
@attribute "capaz de" numeric
@attribute "casa ." numeric
@attribute "casa de" numeric
@attribute "cheia de" numeric
@attribute "cheio de" numeric
@attribute "coisa ." numeric
@attribute "coisa que" numeric
@attribute "com a" numeric
@attribute "com as" numeric
@attribute "com ela" numeric
@attribute "com ele" numeric
@attribute "com o" numeric
@attribute "com os" numeric
@attribute "com que" numeric
@attribute "com seu" numeric
@attribute "com sua" numeric
@attribute "com um" numeric
@attribute "com uma" numeric
@attribute "começou a" numeric
@attribute "como a" numeric
@attribute "como o" numeric
@attribute "como se" numeric
@attribute "como um" numeric
@attribute "como uma" numeric
@attribute "como é" numeric
@attribute "contra a" numeric
@attribute "contra o" numeric
@attribute "corpo ." numeric
@attribute "da casa" numeric
@attribute "da cidade" numeric
@attribute "da mesa" numeric
@attribute "da noite" numeric
@attribute "da rua" numeric
@attribute "da sala" numeric
@attribute "da vida" numeric
@attribute "de amor" numeric
@attribute "de deus" numeric
@attribute "de dona" numeric
@attribute "de mim" numeric
@attribute "de novo" numeric
@attribute "de olhos" numeric
@attribute "de pé" numeric
@attribute "de que" numeric
@attribute "de quem" numeric
@attribute "de repente" numeric
@attribute "de santa" numeric
@attribute "de se" numeric
@attribute "de ser" numeric
@attribute "de seu" numeric
@attribute "de seus" numeric
@attribute "de si" numeric
@attribute "de sua" numeric
@attribute "de súbito" numeric
@attribute "de ter" numeric
@attribute "de todos" numeric
@attribute "de tudo" numeric
@attribute "de um" numeric
@attribute "de uma" numeric
@attribute "dele ." numeric
@attribute "dentro de" numeric
@attribute "depois de" numeric
@attribute "disse :" numeric
@attribute "disse que" numeric
@attribute "dizer que" numeric
@attribute "do homem" numeric
@attribute "do mundo" numeric
@attribute "do outro" numeric
@attribute "do quarto" numeric
@attribute "do que" numeric
@attribute "do rio" numeric
@attribute "dona carmosina" numeric
@attribute "dona flor" numeric
@attribute "dona norma" numeric
@attribute "dona rozilda" numeric
@attribute "e a" numeric
@attribute "e agora" numeric
@attribute "e ao" numeric
@attribute "e as" numeric
@attribute "e com" numeric
@attribute "e como" numeric
@attribute "e da" numeric
@attribute "e de" numeric
@attribute "e depois" numeric
@attribute "e do" numeric
@attribute "e ela" numeric
@attribute "e ele" numeric
@attribute "e em" numeric
@attribute "e eu" numeric
@attribute "e ficou" numeric
@attribute "e mais" numeric
@attribute "e na" numeric
@attribute "e no" numeric
@attribute "e não" numeric
@attribute "e o" numeric
@attribute "e os" numeric
@attribute "e para" numeric
@attribute "e por" numeric
@attribute "e quando" numeric
@attribute "e que" numeric
@attribute "e se" numeric
@attribute "e sem" numeric
@attribute "e um" numeric
@attribute "e uma" numeric
@attribute "ela ." numeric
@attribute "ela não" numeric
@attribute "ela se" numeric
@attribute "ele ." numeric
@attribute "ele a" numeric
@attribute "ele era" numeric
@attribute "ele não" numeric
@attribute "ele se" numeric
@attribute "em casa" numeric
@attribute "em cima" numeric
@attribute "em que" numeric
@attribute "em seu" numeric
@attribute "em silêncio" numeric
@attribute "em sua" numeric
@attribute "em torno" numeric
@attribute "entre as" numeric
@attribute "entre os" numeric
@attribute "era a" numeric
@attribute "era o" numeric
@attribute "era um" numeric
@attribute "era uma" numeric
@attribute "espécie de" numeric
@attribute "eu não" numeric
@attribute "ficou a" numeric
@attribute "fim de" numeric
@attribute "gabriel heliodoro" numeric
@attribute "homem ." numeric
@attribute "homem de" numeric
@attribute "homem que" numeric
@attribute "impressão de" numeric
@attribute "já não" numeric
@attribute "mais ." numeric
@attribute "mais de" numeric
@attribute "mais que" numeric
@attribute "maria valéria" numeric
@attribute "mas a" numeric
@attribute "mas não" numeric
@attribute "mas o" numeric
@attribute "mas que" numeric
@attribute "mas é" numeric
@attribute "mesmo ." numeric
@attribute "mesmo que" numeric
@attribute "mesmo tempo" numeric
@attribute "mulher ." numeric
@attribute "mundo ." numeric
@attribute "na cama" numeric
@attribute "na direção" numeric
@attribute "na hora" numeric
@attribute "na mão" numeric
@attribute "na rua" numeric
@attribute "na sala" numeric
@attribute "na sua" numeric
@attribute "nada ." numeric
@attribute "no ar" numeric
@attribute "no chão" numeric
@attribute "no dia" numeric
@attribute "no entanto" numeric
@attribute "no fundo" numeric
@attribute "no meio" numeric
@attribute "no mundo" numeric
@attribute "no quarto" numeric
@attribute "no rosto" numeric
@attribute "no seu" numeric
@attribute "noite ." numeric
@attribute "não ." numeric
@attribute "não a" numeric
@attribute "não era" numeric
@attribute "não havia" numeric
@attribute "não há" numeric
@attribute "não lhe" numeric
@attribute "não me" numeric
@attribute "não o" numeric
@attribute "não pode" numeric
@attribute "não podia" numeric
@attribute "não sabia" numeric
@attribute "não se" numeric
@attribute "não sei" numeric
@attribute "não tem" numeric
@attribute "não tinha" numeric
@attribute "não é" numeric
@attribute "o ar" numeric
@attribute "o coração" numeric
@attribute "o coronel" numeric
@attribute "o corpo" numeric
@attribute "o céu" numeric
@attribute "o dia" numeric
@attribute "o dinheiro" numeric
@attribute "o doutor" numeric
@attribute "o dr." numeric
@attribute "o filho" numeric
@attribute "o homem" numeric
@attribute "o mais" numeric
@attribute "o marido" numeric
@attribute "o mesmo" numeric
@attribute "o meu" numeric
@attribute "o mundo" numeric
@attribute "o negro" numeric
@attribute "o nome" numeric
@attribute "o olhar" numeric
@attribute "o outro" numeric
@attribute "o padre" numeric
@attribute "o pai" numeric
@attribute "o peito" numeric
@attribute "o primeiro" numeric
@attribute "o próprio" numeric
@attribute "o quarto" numeric
@attribute "o que" numeric
@attribute "o rosto" numeric
@attribute "o senhor" numeric
@attribute "o seu" numeric
@attribute "o sol" numeric
@attribute "o tempo" numeric
@attribute "o tenente" numeric
@attribute "o velho" numeric
@attribute "o vento" numeric
@attribute "olhar para" numeric
@attribute "olhos ." numeric
@attribute "olhos de" numeric
@attribute "olhou para" numeric
@attribute "os braços" numeric
@attribute "os cabelos" numeric
@attribute "os dois" numeric
@attribute "os homens" numeric
@attribute "os lábios" numeric
@attribute "os olhos" numeric
@attribute "os outros" numeric
@attribute "os seus" numeric
@attribute "outro ." numeric
@attribute "pai ." numeric
@attribute "para a" numeric
@attribute "para as" numeric
@attribute "para ele" numeric
@attribute "para não" numeric
@attribute "para o" numeric
@attribute "para os" numeric
@attribute "para outro" numeric
@attribute "para que" numeric
@attribute "para um" numeric
@attribute "pelo menos" numeric
@attribute "ponto de" numeric
@attribute "por isso" numeric
@attribute "por que" numeric
@attribute "por quê" numeric
@attribute "por um" numeric
@attribute "por uma" numeric
@attribute "primeira vez" numeric
@attribute "quando a" numeric
@attribute "quando o" numeric
@attribute "que a" numeric
@attribute "que as" numeric
@attribute "que ela" numeric
@attribute "que ele" numeric
@attribute "que era" numeric
@attribute "que estava" numeric
@attribute "que está" numeric
@attribute "que eu" numeric
@attribute "que foi" numeric
@attribute "que havia" numeric
@attribute "que já" numeric
@attribute "que lhe" numeric
@attribute "que me" numeric
@attribute "que não" numeric
@attribute "que o" numeric
@attribute "que os" numeric
@attribute "que se" numeric
@attribute "que tinha" numeric
@attribute "que um" numeric
@attribute "que vai" numeric
@attribute "que você" numeric
@attribute "que é" numeric
@attribute "quem sabe" numeric
@attribute "quê ?" numeric
@attribute "rodrigo ." numeric
@attribute "sabia que" numeric
@attribute "sala de" numeric
@attribute "santa fé" numeric
@attribute "se a" numeric
@attribute "se ela" numeric
@attribute "se ele" numeric
@attribute "se eu" numeric
@attribute "se não" numeric
@attribute "se o" numeric
@attribute "sensação de" numeric
@attribute "seu corpo" numeric
@attribute "seus olhos" numeric
@attribute "si mesmo" numeric
@attribute "silêncio ." numeric
@attribute "sim ." numeric
@attribute "sobre a" numeric
@attribute "sobre o" numeric
@attribute "sua vida" numeric
@attribute "tempo ." numeric
@attribute "toda a" numeric
@attribute "todas as" numeric
@attribute "todo o" numeric
@attribute "todos os" numeric
@attribute "tornou a" numeric
@attribute "tudo ." numeric
@attribute "tudo isso" numeric
@attribute "um dia" numeric
@attribute "um dos" numeric
@attribute "um homem" numeric
@attribute "um instante" numeric
@attribute "um pouco" numeric
@attribute "uma coisa" numeric
@attribute "uma das" numeric
@attribute "uma mulher" numeric
@attribute "uma pessoa" numeric
@attribute "uma vez" numeric
@attribute "vez mais" numeric
@attribute "vida ." numeric
@attribute "você não" numeric
@attribute "vontade de" numeric
@attribute "voz de" numeric
@attribute "à sua" numeric
@attribute "às vezes" numeric
@attribute "é a" numeric
@attribute "é o" numeric
@attribute "é que" numeric
@attribute "é um" numeric
@attribute "é uma" numeric
@attribute "— a" numeric
@attribute "— e" numeric
@attribute "— mas" numeric
@attribute "— não" numeric
@attribute "— o" numeric
@attribute "— que" numeric
@attribute class {clarice_lispector,érico_veríssimo,jorge_amado}
@data
7,7,15,9,13,20,12,2,5,6,3,0,52,5,4,12,0,0,3,19,1,1,0,1,0,2,3,5,6,4,6,8,9,2,0,5,1,2,5,6,2,3,3,9,0,3,7,0,13,5,7,12,10,2,10,16,8,11,0,1,4,3,10,9,3,6,11,4,4,6,1,9,3,10,2,5,7,30,5,4,5,18,10,6,4,3,16,8,6,7,10,39,17,16,3,0,2,4,1,2,1,3,2,3,6,3,4,0,32,14,7,4,37,2,30,0,4,4,10,4,16,21,7,9,5,6,20,22,6,11,9,6,5,2,6,11,0,2,17,1,0,0,0,0,40,6,1,8,7,9,4,17,7,3,16,7,3,13,0,4,3,10,20,33,7,5,7,6,0,15,1,0,11,13,14,9,5,4,6,15,9,5,4,33,1,2,1,5,1,5,7,14,15,12,6,18,0,1,0,7,1,3,3,7,12,3,0,0,7,18,3,7,6,12,5,4,2,8,6,0,0,4,6,2,13,8,4,3,4,26,3,3,4,5,5,8,1,17,10,16,7,4,7,17,9,7,4,13,31,15,9,11,16,7,3,0,4,5,8,3,1,0,1,11,2,7,6,11,14,0,5,4,3,0,1,0,5,0,3,72,11,16,21,9,3,0,1,1,4,8,0,1,7,6,4,5,4,45,4,4,2,0,11,0,5,11,28,2,3,7,6,7,5,9,33,0,12,3,8,2,6,30,9,19,28,14,6,3,41,3,4,8,10,25,47,32,6,41,7,5,3,7,16,6,25,0,11,2,0,5,3,8,4,9,7,3,2,2,8,12,10,19,11,10,4,3,10,11,16,1,7,2,17,3,14,10,33,4,1,7,1,11,5,14,6,10,1,12,9,0,0,54,11,0,0,0,0,0,0,0,clarice_lispector
0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,29,0,60,26,40,10,28,47,9,8,4,2,3,23,11,3,0,123,58,14,20,18,24,13,10,10,8,28,12,11,4,4,51,26,16,4,15,10,11,5,29,0,15,0,8,9,16,69,18,7,9,30,7,3,35,4,7,5,20,12,7,7,68,23,3,5,83,27,15,4,4,31,19,17,24,17,61,23,14,2,3,2,2,12,22,5,20,12,21,2,7,3,0,3,52,8,39,34,6,20,0,19,23,19,6,24,34,30,7,3,5,88,75,3,6,13,7,5,7,8,4,2,8,39,0,0,0,0,0,109,14,4,18,8,8,8,53,8,8,34,11,10,0,4,11,18,13,34,64,20,3,5,14,71,22,20,9,21,12,23,33,7,19,24,17,15,8,0,43,0,12,1,18,15,14,43,46,29,19,5,3,0,4,0,14,3,14,2,14,15,2,4,0,12,19,13,7,3,5,6,9,14,10,5,0,0,12,18,13,22,5,13,13,5,12,6,21,2,9,8,8,8,4,10,34,17,0,7,5,15,0,8,16,60,6,2,13,8,32,6,0,13,13,12,1,1,0,0,23,1,20,14,1,19,0,7,20,4,0,1,2,9,8,10,174,53,6,29,11,10,10,0,33,4,7,5,2,6,15,12,4,11,50,10,4,6,1,31,1,1,5,39,7,3,10,8,9,7,3,18,0,36,15,9,10,12,80,13,53,36,40,17,6,5,1,5,10,27,5,56,75,18,106,4,14,1,18,13,7,3,0,4,19,0,16,4,6,4,9,4,0,3,1,9,14,2,45,22,13,10,13,8,8,5,0,3,18,21,9,44,31,52,12,9,15,16,12,30,5,7,3,2,0,35,0,0,0,0,0,40,69,19,24,28,22,clarice_lispector
16,17,0,22,28,66,38,0,8,20,2,43,75,9,5,20,0,0,7,48,0,9,0,7,2,9,4,13,10,9,6,21,3,28,1,32,14,11,5,9,5,0,8,5,1,0,17,0,23,13,13,27,22,1,19,53,0,28,0,7,7,24,37,21,7,11,15,16,6,29,5,6,2,21,9,17,12,36,16,6,7,34,21,15,4,6,28,20,8,41,36,95,81,57,5,1,3,21,11,0,9,7,0,2,12,6,10,0,47,63,12,4,52,8,33,0,21,8,32,10,54,31,8,10,1,20,73,51,14,56,32,9,6,2,23,7,4,3,54,0,0,0,0,0,71,13,6,19,4,14,8,65,13,5,33,8,6,18,1,5,3,11,36,73,10,4,5,10,0,20,16,0,11,21,48,19,24,10,13,19,13,5,8,42,10,6,6,1,6,17,20,9,15,18,3,36,0,7,0,25,2,10,7,4,10,2,5,0,14,36,17,9,6,8,15,7,20,6,5,1,2,5,6,2,13,11,15,3,9,33,15,8,10,5,9,26,8,21,17,39,12,4,11,16,19,6,17,26,66,32,10,4,32,23,10,0,45,6,10,2,0,0,8,44,7,5,8,5,17,0,3,13,2,0,27,1,2,11,13,234,42,3,21,12,11,0,1,9,3,14,3,3,11,14,15,5,21,101,8,12,5,7,28,3,6,4,55,3,14,6,14,11,4,12,89,0,9,6,10,10,4,64,10,67,42,13,13,4,52,6,8,12,12,28,86,48,8,87,5,9,7,32,30,6,38,0,26,3,0,8,19,10,11,14,7,8,36,18,13,9,20,41,24,17,13,17,28,18,17,0,17,6,32,3,25,41,55,21,5,16,10,25,27,15,15,14,6,25,41,0,0,69,18,0,0,0,0,0,0,0,clarice_lispector
50,7,196,34,75,60,66,30,16,56,11,0,129,38,26,32,0,0,29,61,19,11,2,33,2,16,6,9,23,30,7,21,53,118,4,52,31,22,31,32,10,2,3,65,27,18,14,0,48,38,84,54,12,3,31,91,3,30,0,7,28,32,42,27,6,12,73,3,13,49,13,7,4,12,19,19,55,180,36,12,15,224,53,114,11,14,92,74,37,56,33,466,94,76,26,14,8,11,14,1,2,19,0,5,13,28,17,0,17,185,19,51,188,28,107,0,61,67,63,16,70,76,37,44,12,20,228,176,17,25,26,14,9,32,86,18,11,5,132,10,0,0,0,0,0,26,16,30,45,76,11,138,24,17,38,92,16,27,6,27,14,41,93,164,24,19,37,27,0,99,47,0,46,24,77,54,40,38,67,147,107,6,4,125,5,20,1,18,14,3,107,97,82,53,22,50,0,6,0,62,14,74,15,61,28,10,41,0,44,48,36,17,18,30,31,27,28,13,24,0,15,29,2,1,52,27,21,16,9,99,16,25,10,5,19,46,11,17,37,88,35,11,45,26,42,5,21,63,136,37,16,48,36,37,29,0,24,13,17,2,0,0,11,339,15,1,13,7,62,3,6,23,21,1,9,7,18,34,4,642,47,83,79,41,62,0,3,34,6,19,6,17,8,12,14,18,7,108,55,12,10,18,70,13,24,27,83,14,9,33,22,39,47,13,97,0,95,20,67,27,19,203,47,162,339,101,75,14,76,19,35,52,111,13,220,289,41,268,46,84,4,19,132,30,25,0,63,0,0,53,26,55,20,56,58,15,24,39,45,21,22,20,18,29,23,18,12,14,16,2,23,33,67,7,234,91,110,34,12,59,122,55,32,21,12,11,2,125,42,198,0,408,59,0,0,0,0,0,0,0,clarice_lispector
21,2,64,23,19,6,15,7,2,20,7,0,2,30,12,36,0,0,21,2,3,2,2,28,0,11,0,0,2,8,105,6,0,3,1,18,8,19,9,21,6,0,0,0,15,1,7,16,18,15,20,58,2,1,21,22,0,16,0,4,13,9,25,5,6,6,17,0,2,11,3,2,3,3,3,17,17,42,15,4,5,51,17,10,2,3,18,12,3,33,27,68,33,33,9,4,8,7,2,1,2,6,0,1,20,20,7,0,92,39,3,7,51,15,13,0,12,14,9,5,10,8,12,14,3,9,113,109,4,26,12,3,1,8,4,19,4,18,73,0,0,0,0,0,141,15,8,10,14,13,11,36,5,9,2,4,8,60,0,12,9,10,54,0,1,14,20,8,0,24,19,0,32,6,10,3,4,0,1,8,1,0,1,24,0,4,0,3,2,4,25,53,24,28,10,132,0,0,0,4,2,4,3,19,15,3,9,0,13,19,18,8,21,13,23,14,4,18,4,0,7,2,1,0,7,18,13,3,1,34,2,2,9,12,1,2,2,13,16,34,14,9,1,59,10,5,10,21,33,36,27,12,65,8,2,0,13,0,1,0,0,0,1,13,7,0,8,68,38,0,7,8,13,0,1,0,13,13,32,306,3,1,15,12,14,0,0,1,2,8,2,0,0,0,2,4,2,30,14,4,6,0,29,6,3,6,36,3,1,19,8,24,10,14,24,0,19,12,13,6,2,78,7,12,8,42,23,12,246,9,11,25,2,96,124,60,10,98,6,8,2,0,102,11,10,0,36,1,0,13,4,1,64,12,8,2,3,6,15,11,2,8,9,5,6,8,11,8,8,0,6,24,10,6,10,10,12,11,4,16,16,5,7,37,0,5,0,0,8,0,142,171,59,0,0,0,0,0,0,0,clarice_lispector
0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,8,0,27,17,30,10,12,1,5,9,4,0,4,4,8,0,5,2,33,51,18,7,13,7,6,9,6,10,8,7,7,7,27,13,11,3,16,2,10,3,15,5,8,0,9,11,7,10,14,4,11,17,2,2,21,5,7,5,4,6,2,3,56,21,6,1,48,26,20,14,5,34,29,7,16,6,89,28,31,3,1,1,5,10,0,13,5,13,4,2,9,0,0,8,52,9,14,23,9,25,2,15,9,15,6,12,28,11,8,6,4,55,47,2,13,12,5,1,6,3,20,6,7,17,1,0,0,0,0,50,6,7,11,14,24,3,35,10,1,31,9,7,11,4,14,8,6,18,45,15,8,7,11,0,19,10,24,0,12,30,17,1,6,3,8,13,9,2,23,1,4,0,12,12,19,16,17,22,18,2,7,0,1,0,10,1,7,3,16,7,6,11,0,9,18,14,10,3,6,7,11,6,8,5,0,6,15,4,8,19,11,11,9,1,10,6,10,7,3,1,16,3,2,13,35,9,2,4,5,7,1,6,11,40,1,3,14,11,8,9,0,11,5,9,4,0,0,7,28,4,17,7,1,15,0,4,5,9,0,18,5,6,6,0,105,16,1,24,4,5,0,6,2,6,13,2,6,3,14,11,3,6,62,15,1,4,3,25,6,3,9,29,6,5,12,4,5,4,1,0,22,28,5,3,10,6,59,12,51,22,22,7,1,16,2,7,10,15,8,73,41,12,60,13,11,0,2,16,6,5,0,11,6,0,9,9,1,3,8,7,2,5,15,1,3,4,10,5,3,5,8,8,9,10,0,3,4,8,0,21,27,45,12,3,10,20,13,17,10,2,10,0,0,16,0,0,51,0,10,10,32,7,17,21,13,clarice_lispector
0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,2,0,0,0,0,1,6,1,0,0,20,3,0,0,0,2,2,0,0,1,1,2,0,0,0,0,2,0,0,0,0,0,0,1,1,0,3,0,0,3,3,1,4,0,0,0,0,3,0,1,3,4,0,0,1,0,7,2,1,1,0,1,6,1,0,1,8,2,1,0,1,3,2,0,1,1,3,0,2,2,1,0,0,0,1,0,0,0,0,1,2,0,1,5,5,0,0,3,1,7,0,1,3,1,0,0,0,0,2,0,4,7,4,3,0,1,0,3,2,0,1,2,0,4,0,0,0,0,0,0,2,0,0,0,1,2,8,1,0,0,2,1,5,3,0,0,2,6,0,3,3,1,3,16,2,0,0,0,0,1,0,1,2,2,1,1,6,4,0,0,0,0,1,0,0,1,1,3,1,1,7,0,0,0,0,0,4,0,0,1,0,0,0,1,3,1,0,2,4,1,0,1,0,0,0,1,2,2,0,1,1,0,1,2,0,2,3,2,0,1,0,1,1,0,2,1,1,0,0,0,0,1,0,7,0,0,6,2,0,2,0,1,0,4,0,0,0,0,3,0,0,0,3,1,0,3,0,5,0,1,0,2,0,0,13,0,1,3,0,3,0,0,0,0,0,0,1,0,0,3,0,0,1,0,1,1,0,6,2,1,2,2,3,3,1,6,0,0,1,3,0,3,0,0,2,1,8,2,4,3,6,3,1,18,1,1,1,0,2,13,2,3,8,3,1,0,1,7,0,2,0,1,0,0,1,1,0,3,2,0,0,0,0,0,0,0,1,1,0,0,2,10,1,4,0,3,0,3,0,4,0,7,6,0,0,3,1,1,1,0,2,0,0,7,7,10,0,11,6,0,0,0,0,0,0,clarice_lispector
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,2,2,0,0,0,0,0,1,0,0,0,1,3,1,0,0,0,0,1,1,0,1,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,1,0,3,2,0,0,0,0,0,2,0,0,3,1,5,0,0,0,0,1,0,2,0,0,5,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,2,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,6,1,1,12,2,0,1,1,0,0,0,0,1,7,7,1,3,1,2,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,2,1,0,0,0,0,0,3,4,1,0,0,4,0,3,14,1,0,0,1,1,0,0,0,clarice_lispector
0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,11,0,147,23,79,1,16,19,6,4,18,1,14,25,5,4,8,2,17,43,47,29,24,11,8,8,18,23,20,6,4,31,61,40,35,10,41,17,3,10,99,4,40,0,4,15,41,51,27,14,23,25,9,5,16,3,12,6,26,29,8,20,104,36,11,13,108,75,15,7,8,119,79,20,36,72,227,81,78,8,7,13,24,15,12,7,15,10,22,14,5,4,0,3,71,34,5,71,13,29,0,27,22,69,18,87,83,56,17,7,18,123,112,3,26,30,17,5,4,9,14,6,19,65,3,0,0,0,0,100,18,12,17,28,50,11,112,29,15,106,17,12,0,1,10,15,19,48,107,33,8,13,14,90,34,42,33,30,25,85,83,16,23,17,22,22,9,4,51,10,18,8,9,19,13,39,48,35,28,24,19,0,9,0,10,1,3,9,12,12,4,6,0,15,50,32,19,2,13,20,15,15,9,10,0,2,10,12,11,39,15,39,11,7,62,25,40,8,23,13,58,10,13,30,56,18,1,12,11,17,8,25,37,101,17,8,11,31,53,52,0,67,21,26,4,0,0,4,15,12,7,14,0,30,1,1,16,9,0,57,9,6,37,14,277,95,7,54,19,11,0,4,36,8,12,6,10,13,25,31,8,55,240,11,7,6,9,100,4,5,11,82,14,12,7,19,8,9,8,0,63,67,17,30,10,9,103,12,161,72,41,17,3,31,6,12,16,44,6,120,72,11,107,8,12,3,30,40,11,30,0,28,12,0,13,28,17,8,8,11,26,75,43,24,13,28,43,38,60,11,33,18,19,18,1,4,12,51,8,34,120,88,16,14,32,18,34,14,30,13,10,1,0,60,0,0,0,0,0,38,72,63,56,58,14,clarice_lispector
0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,8,0,54,6,10,3,1,5,5,0,11,14,6,2,4,22,8,0,0,0,5,8,1,7,6,1,3,0,0,7,2,0,0,10,4,5,9,2,3,2,7,11,5,0,5,3,5,4,7,4,9,1,1,1,1,0,1,3,2,5,5,3,22,12,1,3,53,18,3,0,2,11,7,7,6,10,13,16,6,2,2,6,7,5,8,0,4,1,1,7,0,2,0,13,20,2,2,28,2,19,1,2,6,9,5,0,6,0,3,5,4,33,13,5,7,7,11,2,4,2,7,5,1,10,21,0,0,0,0,39,1,2,13,3,3,8,22,7,2,0,2,3,11,1,5,3,7,10,33,11,4,3,1,0,7,5,0,0,1,0,0,8,1,3,3,0,0,8,23,0,8,1,2,5,8,10,16,28,15,1,20,0,13,0,5,4,11,5,2,2,8,4,0,11,11,5,3,0,7,2,3,3,7,0,9,3,5,5,0,3,9,11,7,5,5,2,8,3,0,3,1,3,2,0,10,6,4,1,20,3,4,6,2,11,14,1,4,2,5,2,0,8,13,10,1,0,2,4,12,1,0,3,21,4,1,27,0,1,3,1,0,7,1,1,30,4,0,6,5,15,0,0,4,1,4,1,2,5,0,2,9,0,11,7,2,3,3,43,18,2,3,56,13,8,1,1,0,2,4,10,0,10,6,1,3,6,22,8,4,14,22,5,3,22,12,4,1,4,25,33,29,11,31,6,4,1,0,9,1,2,0,3,0,0,2,1,2,5,6,1,0,1,4,0,9,1,0,0,0,6,11,10,8,13,7,4,3,28,12,25,3,5,4,3,0,3,2,1,12,0,7,3,12,9,0,0,22,10,9,3,4,5,4,9,6,érico_veríssimo
