@relation autorship_identification
@attribute "- ah !" numeric
@attribute "- disse ele" numeric
@attribute "- e o" numeric
@attribute "- está bem" numeric
@attribute "- mas não" numeric
@attribute "- não ." numeric
@attribute "- não se" numeric
@attribute "- não sei" numeric
@attribute "- não é" numeric
@attribute "- o que" numeric
@attribute "- o senhor" numeric
@attribute "- por que" numeric
@attribute "- que é" numeric
@attribute ": - a" numeric
@attribute ": - e" numeric
@attribute ": - eu" numeric
@attribute ": - mas" numeric
@attribute ": - não" numeric
@attribute ": - o" numeric
@attribute ": - que" numeric
@attribute ": - se" numeric
@attribute ": - é" numeric
@attribute ": — não" numeric
@attribute ": — o" numeric
@attribute "a cabeça ." numeric
@attribute "a cabeça e" numeric
@attribute "a cabeça para" numeric
@attribute "a casa de" numeric
@attribute "a certeza de" numeric
@attribute "a falta de" numeric
@attribute "a fim de" numeric
@attribute "a gente não" numeric
@attribute "a idéia de" numeric
@attribute "a imagem de" numeric
@attribute "a impressão de" numeric
@attribute "a luz do" numeric
@attribute "a morte ." numeric
@attribute "a mulher ." numeric
@attribute "a mão ." numeric
@attribute "a mão de" numeric
@attribute "a mão no" numeric
@attribute "a não ser" numeric
@attribute "a olhar para" numeric
@attribute "a ponto de" numeric
@attribute "a porta ." numeric
@attribute "a porta do" numeric
@attribute "a primeira vez" numeric
@attribute "a rua ." numeric
@attribute "a sala de" numeric
@attribute "a sensação de" numeric
@attribute "a seu lado" numeric
@attribute "a si mesmo" numeric
@attribute "a sua vida" numeric
@attribute "a um canto" numeric
@attribute "a ver com" numeric
@attribute "a verdade ." numeric
@attribute "a verdade é" numeric
@attribute "a vida ." numeric
@attribute "a vida de" numeric
@attribute "a vida é" numeric
@attribute "a voz de" numeric
@attribute "a voz do" numeric
@attribute "abriu os olhos" numeric
@attribute "afinal de contas" numeric
@attribute "alguma coisa ." numeric
@attribute "alguma coisa que" numeric
@attribute "ambas as mãos" numeric
@attribute "amor de deus" numeric
@attribute "antônio balduíno ." numeric
@attribute "ao lado da" numeric
@attribute "ao lado de" numeric
@attribute "ao lado do" numeric
@attribute "ao mesmo tempo" numeric
@attribute "ao passo que" numeric
@attribute "ao pé da" numeric
@attribute "as coisas ." numeric
@attribute "as mãos ." numeric
@attribute "as mãos e" numeric
@attribute "até o fim" numeric
@attribute "cada vez mais" numeric
@attribute "certeza de que" numeric
@attribute "chefe de polícia" numeric
@attribute "cima da mesa" numeric
@attribute "com a cabeça" numeric
@attribute "com a mão" numeric
@attribute "com a ponta" numeric
@attribute "com a sua" numeric
@attribute "com as mãos" numeric
@attribute "com ela ." numeric
@attribute "com ele ." numeric
@attribute "com o olhar" numeric
@attribute "com o que" numeric
@attribute "com o rosto" numeric
@attribute "com o seu" numeric
@attribute "com os olhos" numeric
@attribute "com toda a" numeric
@attribute "com um gesto" numeric
@attribute "com um sorriso" numeric
@attribute "com uma expressão" numeric
@attribute "como se a" numeric
@attribute "como se ela" numeric
@attribute "como se ele" numeric
@attribute "como se estivesse" numeric
@attribute "como se fosse" numeric
@attribute "como se não" numeric
@attribute "como se o" numeric
@attribute "como se tivesse" numeric
@attribute "como é que" numeric
@attribute "contra o peito" numeric
@attribute "d. maria luísa" numeric
@attribute "da casa ." numeric
@attribute "da casa de" numeric
@attribute "da cidade ." numeric
@attribute "da manhã ." numeric
@attribute "da mesa ." numeric
@attribute "da noite ." numeric
@attribute "da rua ." numeric
@attribute "da sala de" numeric
@attribute "da vida ." numeric
@attribute "de acordo com" numeric
@attribute "de algum modo" numeric
@attribute "de amor ." numeric
@attribute "de casa ." numeric
@attribute "de certo modo" numeric
@attribute "de deus ." numeric
@attribute "de dona flor" numeric
@attribute "de mangue seco" numeric
@attribute "de mim ." numeric
@attribute "de novo ." numeric
@attribute "de novo a" numeric
@attribute "de novo o" numeric
@attribute "de quando em" numeric
@attribute "de que a" numeric
@attribute "de que ele" numeric
@attribute "de que não" numeric
@attribute "de que o" numeric
@attribute "de santa fé" numeric
@attribute "de seu corpo" numeric
@attribute "de si mesma" numeric
@attribute "de si mesmo" numeric
@attribute "de sua vida" numeric
@attribute "de são paulo" numeric
@attribute "de toda a" numeric
@attribute "de todas as" numeric
@attribute "de todos os" numeric
@attribute "de tudo ." numeric
@attribute "de um homem" numeric
@attribute "de um lado" numeric
@attribute "de uma vez" numeric
@attribute "de vez em" numeric
@attribute "dentro de si" numeric
@attribute "dia em que" numeric
@attribute "disse : -" numeric
@attribute "disse : —" numeric
@attribute "do homem ." numeric
@attribute "do marido ." numeric
@attribute "do mata gato" numeric
@attribute "do mundo ." numeric
@attribute "do outro ." numeric
@attribute "do outro lado" numeric
@attribute "do pai ." numeric
@attribute "do quarto ." numeric
@attribute "do que a" numeric
@attribute "do que o" numeric
@attribute "dona flor ." numeric
@attribute "dona flor e" numeric
@attribute "dos outros ." numeric
@attribute "dum lado para" numeric
@attribute "e ao mesmo" numeric
@attribute "e com a" numeric
@attribute "e com o" numeric
@attribute "e começou a" numeric
@attribute "e como se" numeric
@attribute "e de novo" numeric
@attribute "e de repente" numeric
@attribute "e de súbito" numeric
@attribute "e disse :" numeric
@attribute "e ficou a" numeric
@attribute "e no entanto" numeric
@attribute "e o homem" numeric
@attribute "e o que" numeric
@attribute "e por fim" numeric
@attribute "e por que" numeric
@attribute "e pôs-se a" numeric
@attribute "e quando o" numeric
@attribute "em busca de" numeric
@attribute "em casa ." numeric
@attribute "em casa de" numeric
@attribute "em cima da" numeric
@attribute "em cima do" numeric
@attribute "em mangue seco" numeric
@attribute "em matéria de" numeric
@attribute "em que a" numeric
@attribute "em que ele" numeric
@attribute "em que o" numeric
@attribute "em que se" numeric
@attribute "em santa fé" numeric
@attribute "em silêncio ." numeric
@attribute "em são paulo" numeric
@attribute "em toda a" numeric
@attribute "em todo o" numeric
@attribute "em vez de" numeric
@attribute "em voz alta" numeric
@attribute "encolheu os ombros" numeric
@attribute "era como se" numeric
@attribute "era o que" numeric
@attribute "era um homem" numeric
@attribute "ergueu os olhos" numeric
@attribute "está bem ." numeric
@attribute "eu sei ." numeric
@attribute "fechou os olhos" numeric
@attribute "fez um gesto" numeric
@attribute "fez uma pausa" numeric
@attribute "ficou a olhar" numeric
@attribute "fim de contas" numeric
@attribute "homens e mulheres" numeric
@attribute "idéia de que" numeric
@attribute "impressão de que" numeric
@attribute "isso o que" numeric
@attribute "lado para outro" numeric
@attribute "lá em cima" numeric
@attribute "mais de uma" numeric
@attribute "mais do que" numeric
@attribute "mais ou menos" numeric
@attribute "mais uma vez" numeric
@attribute "mas o que" numeric
@attribute "mas por que" numeric
@attribute "meu bem ." numeric
@attribute "meu filho ." numeric
@attribute "momento em que" numeric
@attribute "muito bem ." numeric
@attribute "na cama ." numeric
@attribute "na casa de" numeric
@attribute "na direção da" numeric
@attribute "na direção do" numeric
@attribute "na hora do" numeric
@attribute "na mão ." numeric
@attribute "na ponta dos" numeric
@attribute "na rua ." numeric
@attribute "na sala de" numeric
@attribute "no ar ." numeric
@attribute "no chão ." numeric
@attribute "no dia em" numeric
@attribute "no dia seguinte" numeric
@attribute "no fim de" numeric
@attribute "no fundo do" numeric
@attribute "no meio da" numeric
@attribute "no meio de" numeric
@attribute "no meio do" numeric
@attribute "no momento em" numeric
@attribute "não sei ." numeric
@attribute "não é ?" numeric
@attribute "o cheiro de" numeric
@attribute "o corpo ." numeric
@attribute "o céu ." numeric
@attribute "o desejo de" numeric
@attribute "o dr. rodrigo" numeric
@attribute "o fato de" numeric
@attribute "o fim do" numeric
@attribute "o gato malhado" numeric
@attribute "o homem de" numeric
@attribute "o homem que" numeric
@attribute "o mundo ." numeric
@attribute "o nome de" numeric
@attribute "o outro ." numeric
@attribute "o padre lara" numeric
@attribute "o que a" numeric
@attribute "o que ela" numeric
@attribute "o que ele" numeric
@attribute "o que era" numeric
@attribute "o que eu" numeric
@attribute "o que fazer" numeric
@attribute "o que lhe" numeric
@attribute "o que me" numeric
@attribute "o que não" numeric
@attribute "o que o" numeric
@attribute "o que se" numeric
@attribute "o que é" numeric
@attribute "o quê ?" numeric
@attribute "o resto da" numeric
@attribute "o rosto de" numeric
@attribute "o senhor não" numeric
@attribute "olhando para o" numeric
@attribute "olhar para o" numeric
@attribute "olhava para o" numeric
@attribute "olhou em torno" numeric
@attribute "olhou para o" numeric
@attribute "os olhos ." numeric
@attribute "os olhos de" numeric
@attribute "os olhos do" numeric
@attribute "os olhos e" numeric
@attribute "os olhos para" numeric
@attribute "os ombros ." numeric
@attribute "os outros ." numeric
@attribute "outro lado da" numeric
@attribute "para a cama" numeric
@attribute "para a casa" numeric
@attribute "para a frente" numeric
@attribute "para a porta" numeric
@attribute "para a rua" numeric
@attribute "para a sala" numeric
@attribute "para ele ." numeric
@attribute "para o céu" numeric
@attribute "para o lado" numeric
@attribute "para o outro" numeric
@attribute "para o quarto" numeric
@attribute "para sempre ." numeric
@attribute "pela primeira vez" numeric
@attribute "perguntou : -" numeric
@attribute "ponta dos pés" numeric
@attribute "por algum tempo" numeric
@attribute "por alguns instantes" numeric
@attribute "por alguns segundos" numeric
@attribute "por causa da" numeric
@attribute "por causa de" numeric
@attribute "por isso que" numeric
@attribute "por que não" numeric
@attribute "por que é" numeric
@attribute "por quê ?" numeric
@attribute "por um instante" numeric
@attribute "por um momento" numeric
@attribute "pouco a pouco" numeric
@attribute "quando em quando" numeric
@attribute "que a gente" numeric
@attribute "que diabo !" numeric
@attribute "que ela não" numeric
@attribute "que ele não" numeric
@attribute "que ele se" numeric
@attribute "que era o" numeric
@attribute "que eu não" numeric
@attribute "que foi que" numeric
@attribute "que não ?" numeric
@attribute "que não era" numeric
@attribute "que não me" numeric
@attribute "que não se" numeric
@attribute "que não é" numeric
@attribute "que o homem" numeric
@attribute "que o mundo" numeric
@attribute "que o senhor" numeric
@attribute "que um dia" numeric
@attribute "que um homem" numeric
@attribute "que é isso" numeric
@attribute "que é o" numeric
@attribute "que é que" numeric
@attribute "quem sabe ?" numeric
@attribute "quem é que" numeric
@attribute "rio de janeiro" numeric
@attribute "rua do comércio" numeric
@attribute "sabe o que" numeric
@attribute "saber o que" numeric
@attribute "sabia o que" numeric
@attribute "sacudiu a cabeça" numeric
@attribute "sala de jantar" numeric
@attribute "sala de visitas" numeric
@attribute "santa fé ." numeric
@attribute "se não fosse" numeric
@attribute "sei o que" numeric
@attribute "si mesmo ." numeric
@attribute "sobre a mesa" numeric
@attribute "soledad del mar" numeric
@attribute "soltou uma risada" numeric
@attribute "sua vida ." numeric
@attribute "toda a sua" numeric
@attribute "todas as noites" numeric
@attribute "todo o mundo" numeric
@attribute "todos os dias" numeric
@attribute "tudo o que" numeric
@attribute "um ar de" numeric
@attribute "um gesto de" numeric
@attribute "um homem ." numeric
@attribute "um homem de" numeric
@attribute "um homem que" numeric
@attribute "um instante ." numeric
@attribute "um lado para" numeric
@attribute "um pedaço de" numeric
@attribute "um pouco ." numeric
@attribute "um pouco de" numeric
@attribute "um sentimento de" numeric
@attribute "uma coisa que" numeric
@attribute "uma espécie de" numeric
@attribute "uma expressão de" numeric
@attribute "verdade é que" numeric
@attribute "vez em quando" numeric
@attribute "voltou a cabeça" numeric
@attribute "à medida que" numeric
@attribute "é o que" numeric
@attribute "é que a" numeric
@attribute "é que ele" numeric
@attribute "é que eu" numeric
@attribute "é que não" numeric
@attribute "é que o" numeric
@attribute "é que se" numeric
@attribute "é que você" numeric
@attribute "é um homem" numeric
@attribute "é verdade que" numeric
@attribute "— está bem" numeric
@attribute "— não ." numeric
@attribute "— o que" numeric
@attribute "— por que" numeric
@attribute "— que é" numeric
@attribute class {clarice_lispector,érico_veríssimo,jorge_amado}
@data
0,1,1,0,2,2,1,0,0,2,4,1,1,1,3,4,3,3,1,0,1,0,0,0,1,1,4,0,1,4,0,1,1,1,2,1,1,0,2,0,0,1,3,1,0,0,1,0,0,3,0,5,1,0,4,3,0,0,0,2,0,0,0,1,2,1,0,1,0,1,0,0,4,0,0,1,1,0,3,5,2,0,0,2,0,0,0,1,2,1,0,0,0,2,3,1,0,0,0,3,0,3,2,3,2,1,2,1,0,0,0,0,1,1,1,1,0,1,3,1,0,1,3,1,0,0,0,7,2,2,2,2,3,2,0,0,0,0,3,2,6,0,1,1,4,3,2,2,0,0,3,5,3,0,4,1,0,2,0,0,0,0,2,1,0,0,4,0,1,2,0,0,0,0,6,0,2,0,3,1,2,0,2,1,2,0,1,1,1,1,0,0,1,0,3,2,0,1,0,0,1,1,0,0,3,1,1,2,0,1,1,0,0,0,0,2,1,3,1,2,0,0,3,2,0,0,2,0,0,4,0,2,0,0,0,0,0,0,0,1,1,2,1,2,0,0,0,2,0,0,2,2,0,0,1,1,0,2,0,0,0,1,2,4,0,0,4,1,1,2,4,6,1,3,3,0,3,4,8,3,1,4,0,2,0,0,0,5,0,0,8,1,0,3,0,0,0,1,1,0,0,0,2,0,1,0,3,6,2,0,0,1,0,3,0,0,7,4,6,2,1,2,2,0,0,4,1,3,0,5,0,3,3,1,4,1,1,1,2,2,1,1,0,10,3,0,1,0,5,1,2,0,0,1,0,0,1,3,4,0,0,2,1,0,3,2,6,1,1,0,1,0,2,2,3,0,9,1,2,3,0,0,0,0,0,0,0,3,5,3,0,3,2,0,2,0,0,0,0,0,clarice_lispector
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,5,4,2,3,2,1,1,0,2,4,0,3,2,0,1,0,1,1,3,2,3,2,4,0,3,3,2,0,0,1,0,0,4,0,1,1,2,0,3,2,0,0,0,2,2,0,9,0,1,13,0,1,2,28,2,0,0,2,2,0,4,0,1,2,4,4,11,2,8,0,0,1,0,8,1,3,1,3,2,1,5,1,0,0,0,0,7,0,0,2,1,4,0,1,8,1,4,0,1,0,0,0,4,3,2,5,4,4,0,0,0,1,5,3,5,0,1,0,1,0,12,6,0,2,1,0,0,5,2,1,0,1,1,0,0,2,4,2,0,0,2,0,2,0,1,2,0,4,2,4,0,0,1,2,6,0,0,1,1,1,0,0,0,0,0,0,2,2,1,4,0,9,0,0,0,5,1,0,1,7,3,1,0,0,0,0,0,0,0,0,1,2,4,2,0,0,11,1,2,1,0,0,0,7,2,1,0,0,0,0,2,1,2,8,3,4,0,4,0,0,10,4,2,0,1,1,5,1,2,1,0,2,2,0,1,3,1,1,0,0,10,9,3,14,1,3,7,1,11,6,10,1,0,0,5,1,1,0,1,0,1,5,2,2,4,2,0,0,1,0,0,6,0,1,2,0,3,2,1,1,2,6,0,1,0,0,0,1,0,0,5,0,0,15,8,1,5,2,0,3,2,2,2,0,0,0,3,0,9,0,3,4,0,5,1,0,0,7,1,0,0,0,1,2,4,0,5,12,0,1,2,0,7,0,0,1,1,2,0,1,18,2,0,7,1,4,4,2,0,4,1,0,1,0,2,1,2,0,0,0,3,2,1,2,0,4,6,0,1,3,0,5,1,2,clarice_lispector
0,2,1,0,4,6,3,13,5,14,1,4,5,0,0,5,5,4,3,3,0,4,0,0,5,2,5,0,3,0,1,1,0,0,5,0,4,3,2,2,3,1,1,3,2,0,1,0,1,4,0,4,3,0,2,3,2,3,1,2,5,0,7,0,10,5,0,0,0,0,4,0,7,0,0,6,2,0,2,27,2,0,2,4,5,0,0,3,1,3,1,3,0,1,4,1,1,1,0,2,9,4,3,6,5,4,10,2,0,0,1,0,0,1,5,1,0,0,1,0,5,2,0,4,4,0,0,9,7,8,7,7,1,1,4,0,0,9,18,4,2,0,1,9,0,3,3,10,0,0,25,1,3,0,6,1,0,1,2,0,2,0,1,4,0,0,1,0,2,0,0,1,1,5,17,3,1,0,1,3,0,0,0,0,0,1,2,0,2,2,0,0,6,2,0,6,0,2,0,0,2,5,0,1,2,1,1,3,1,1,12,0,0,0,0,3,0,5,4,7,0,0,23,1,5,7,8,3,1,13,3,1,1,0,0,1,1,3,2,0,5,2,0,4,1,3,3,0,4,10,8,2,0,6,1,1,0,1,1,0,1,2,2,0,0,0,1,8,3,1,15,14,1,7,9,1,9,12,21,2,2,0,0,1,2,0,0,11,0,1,10,1,0,1,0,0,1,2,1,0,1,2,2,4,0,1,2,6,0,3,0,0,0,1,0,0,22,1,12,2,0,0,7,0,0,9,1,1,1,7,2,7,6,0,10,0,6,0,1,4,0,2,1,12,1,0,0,0,6,2,7,0,0,0,0,1,7,4,11,0,0,4,5,2,2,1,33,1,0,6,1,2,6,7,1,6,19,1,3,2,0,5,0,0,1,15,4,1,5,3,0,4,6,0,1,0,0,0,0,0,clarice_lispector
0,1,8,1,4,4,2,11,2,21,13,8,10,6,0,7,1,12,6,7,2,13,0,0,9,5,3,0,3,7,3,1,9,2,6,1,2,7,7,1,3,3,0,23,4,10,9,1,0,3,1,11,7,0,20,12,21,1,2,2,1,1,2,3,9,13,0,1,0,1,1,2,27,1,0,3,4,1,1,32,4,0,0,9,10,0,2,5,1,5,4,17,13,4,23,1,3,12,1,29,12,31,9,16,19,28,37,17,0,0,3,0,0,0,0,7,0,0,4,2,37,11,1,1,4,0,0,3,13,13,13,0,8,21,13,13,0,3,8,16,8,0,1,4,1,4,43,6,5,8,8,2,11,0,11,0,0,6,5,0,0,1,2,4,0,0,10,0,2,4,7,2,31,22,7,5,5,0,22,18,23,0,7,0,1,0,1,1,1,1,0,0,12,8,12,6,0,6,0,3,4,10,0,0,34,8,9,2,0,0,4,3,2,0,0,2,5,3,28,6,0,0,30,6,1,11,5,0,3,17,0,7,0,0,0,1,8,2,0,0,10,8,0,7,0,3,10,4,3,3,2,5,12,2,3,7,0,26,0,0,6,10,6,0,1,0,12,22,40,17,9,12,44,4,23,20,33,22,13,0,4,14,3,1,1,8,6,12,2,5,4,1,1,9,2,2,0,7,0,0,0,1,3,3,4,2,4,54,1,2,1,0,0,3,2,7,10,12,7,50,4,14,0,3,4,17,35,13,13,7,4,2,10,1,25,7,41,8,29,16,30,0,6,54,0,1,1,0,4,11,16,2,0,0,0,7,1,16,0,0,0,6,8,0,4,5,51,5,5,22,7,43,3,6,2,14,5,2,9,13,2,19,8,0,5,0,5,19,11,9,26,11,7,7,35,0,0,0,0,0,clarice_lispector
1,0,1,0,4,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,0,0,2,1,0,2,1,0,2,0,1,0,0,6,2,5,0,0,0,0,1,3,0,0,0,0,1,5,0,3,0,0,0,0,0,10,0,0,0,1,1,1,13,0,0,5,1,1,2,7,3,0,0,0,1,1,1,5,1,1,3,7,0,1,5,0,0,0,0,2,1,1,1,5,1,4,0,3,0,0,0,0,0,4,0,2,0,0,10,0,5,5,0,0,0,0,0,15,2,4,2,0,2,1,3,3,0,2,3,4,1,0,0,3,3,1,4,0,0,2,0,0,2,0,1,0,0,5,1,1,0,4,4,3,0,0,1,0,0,2,3,0,0,3,3,1,0,0,6,2,0,0,1,0,0,0,0,0,0,0,0,2,1,0,2,1,0,1,0,0,0,7,0,0,5,7,0,0,0,2,0,0,0,0,0,1,0,0,4,0,0,0,13,0,0,7,6,0,0,6,0,2,1,0,0,2,0,0,0,0,4,1,0,0,0,1,0,1,1,0,5,1,0,1,0,4,0,2,0,0,2,2,7,0,2,0,4,2,1,10,52,4,1,23,13,1,12,19,3,0,0,0,0,0,0,0,0,4,1,1,4,0,0,2,1,0,0,2,0,0,0,0,0,1,0,3,0,13,0,0,0,0,0,1,0,5,9,1,2,5,1,4,0,6,0,1,2,0,7,25,2,0,5,6,14,9,0,3,0,2,0,1,9,4,0,0,1,0,0,8,1,0,1,0,0,3,9,7,0,0,0,0,0,0,5,1,24,0,0,0,0,1,0,0,14,2,0,2,2,4,0,0,2,0,6,15,4,1,13,6,3,5,0,0,0,0,0,0,0,0,clarice_lispector
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,1,1,0,1,0,0,2,0,3,0,0,2,0,0,0,0,1,1,1,4,1,0,1,0,0,0,0,0,2,0,1,2,1,3,0,0,3,0,1,2,0,0,0,1,1,2,11,0,0,0,1,0,0,15,0,0,1,4,2,0,0,5,3,0,4,0,0,4,8,0,0,5,0,5,4,1,4,5,5,5,8,0,0,0,2,1,0,2,2,1,3,2,0,0,0,1,3,2,0,0,0,0,4,9,1,0,1,0,2,0,0,1,2,1,1,0,0,0,0,1,5,4,1,5,5,1,0,3,2,0,0,6,1,0,1,1,0,0,0,0,1,0,2,1,0,1,7,2,6,4,2,0,1,1,2,0,0,0,1,0,1,0,0,0,0,1,1,1,1,5,0,2,0,2,0,2,0,0,2,2,1,0,0,0,1,1,0,0,0,0,0,1,4,3,1,1,4,0,6,1,0,0,0,5,0,0,0,0,0,0,5,2,0,1,4,3,1,0,0,1,6,3,0,2,0,0,1,1,1,2,0,3,0,0,0,3,2,1,1,0,2,6,3,6,1,4,3,0,7,4,2,3,3,1,1,0,1,0,0,4,2,7,1,6,1,1,1,3,0,0,0,5,0,0,0,0,1,1,0,0,4,2,0,2,0,0,0,1,2,0,3,0,2,16,5,3,0,0,0,5,1,0,1,2,1,0,5,2,7,2,1,0,1,5,1,2,0,8,0,0,0,0,3,1,4,0,3,0,0,0,1,0,5,0,0,1,2,1,4,6,5,1,1,4,0,3,2,3,0,4,4,0,0,0,1,1,5,1,1,0,6,1,0,2,2,2,0,0,3,0,0,3,2,0,clarice_lispector
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,2,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,1,1,3,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,3,0,0,0,0,2,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,clarice_lispector
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,1,0,1,0,0,0,0,0,clarice_lispector
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,4,6,4,1,3,2,1,3,5,0,7,1,0,2,1,1,8,0,1,4,3,2,4,0,3,7,0,5,16,1,1,1,1,6,2,0,1,1,9,0,4,10,1,1,0,0,1,1,15,0,1,4,1,0,5,11,2,0,0,10,8,1,3,5,2,1,4,3,10,5,37,2,5,7,0,9,18,8,2,14,4,7,16,5,1,0,4,2,4,0,1,3,2,2,4,1,21,1,3,4,1,0,0,0,10,8,3,2,6,5,3,1,0,21,25,13,21,0,0,0,2,0,3,1,4,1,16,2,0,11,1,0,0,3,0,1,3,3,5,4,0,0,5,0,3,0,1,1,8,7,11,12,0,0,8,0,15,0,4,2,2,2,0,0,0,0,0,0,4,2,4,4,0,7,0,6,1,8,0,2,6,9,5,1,1,1,5,0,0,0,0,3,5,6,10,1,0,0,15,3,9,14,6,2,0,1,0,3,2,0,0,0,3,0,3,3,6,1,0,6,0,5,10,10,11,0,3,9,2,3,3,3,0,0,2,0,0,1,2,0,3,0,8,21,9,5,8,8,9,1,13,0,8,19,11,2,6,2,2,1,0,0,2,8,6,2,20,2,3,2,0,2,1,31,0,3,1,1,1,9,3,2,8,23,0,0,0,0,0,0,0,2,13,4,17,18,5,1,2,4,0,14,3,8,2,2,2,2,15,0,24,0,1,1,1,4,1,7,3,14,2,0,0,0,5,7,7,0,5,1,0,2,1,6,7,0,0,13,12,1,3,1,13,5,3,4,0,2,12,1,3,1,20,2,5,17,1,1,1,1,1,0,2,3,3,0,2,0,10,0,0,2,3,18,11,3,clarice_lispector
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,3,0,0,0,5,1,6,0,1,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,1,1,0,0,1,2,0,1,0,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,1,2,0,0,1,1,2,2,0,0,0,2,1,0,0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,0,3,1,0,0,0,1,0,0,0,3,2,0,1,1,3,0,1,2,0,0,0,0,0,1,1,4,3,1,4,2,1,1,0,2,0,9,0,0,0,3,0,4,2,0,0,0,0,0,1,5,2,1,1,2,0,1,3,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,1,0,5,1,4,0,0,0,0,0,1,10,0,0,2,0,1,0,0,4,1,0,3,0,7,1,1,0,4,0,0,0,0,5,3,0,0,3,1,5,0,3,0,1,0,5,6,2,1,6,0,3,0,2,2,2,0,0,1,4,1,0,1,1,0,0,5,0,17,0,0,0,2,1,2,0,0,0,2,1,1,3,1,0,1,0,0,2,0,4,0,0,3,0,1,0,1,0,0,1,0,0,0,1,2,0,1,7,4,0,1,0,1,0,0,1,0,0,1,2,1,3,0,1,2,0,1,1,1,0,0,1,0,2,4,4,0,0,2,2,0,1,0,0,1,0,0,0,3,0,0,12,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,3,0,3,2,0,2,0,1,1,0,1,1,0,1,1,0,1,1,0,0,2,0,1,0,0,0,1,0,2,0,0,1,érico_veríssimo
